,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,26989000000.0,9093000000.0,9821000000.0,9478000000.0
Operating Revenue,26989000000.0,9093000000.0,9821000000.0,9478000000.0
Cost Of Revenue,20482000000.0,6540000000.0,7303000000.0,7108000000.0
Gross Profit,6507000000.0,2553000000.0,2518000000.0,2370000000.0
Operating Expense,2776000000.0,1376000000.0,1207000000.0,1231000000.0
Selling General And Administration,1293000000.0,933000000.0,827000000.0,799000000.0
Research And Development,,8000000.0,7000000.0,11000000.0
Depreciation Amortization Depletion Income Statement,785000000.0,435000000.0,373000000.0,421000000.0
Depreciation And Amortization In Income Statement,785000000.0,435000000.0,373000000.0,421000000.0
Other Operating Expenses,698000000.0,,,
Operating Income,3731000000.0,1177000000.0,1311000000.0,1139000000.0
Net Non Operating Interest Income Expense,-485000000.0,-401000000.0,-413000000.0,-483000000.0
Interest Expense Non Operating,485000000.0,401000000.0,413000000.0,483000000.0
Other Income Expense,-387000000.0,-15000000.0,-112000000.0,-189000000.0
Earnings From Equity Interest,17000000.0,17000000.0,2000000.0,9000000.0
Special Income Charges,-467000000.0,-99000000.0,-180000000.0,-216000000.0
Restructuring And Mergern Acquisition,93000000.0,0.0,23000000.0,90000000.0
Impairment Of Capital Assets,544000000.0,75000000.0,5000000.0,99000000.0
Write Off,0.0,93000000.0,113000000.0,114000000.0
Other Special Charges,77000000.0,9000000.0,51000000.0,44000000.0
Gain On Sale Of Ppe,247000000.0,3000000.0,7000000.0,32000000.0
Other Non Operating Income Expenses,63000000.0,67000000.0,66000000.0,18000000.0
Pretax Income,2859000000.0,761000000.0,786000000.0,467000000.0
Tax Provision,672000000.0,251000000.0,-3334000000.0,7000000.0
Net Income Common Stockholders,2187000000.0,510000000.0,4438000000.0,268000000.0
Net Income,2187000000.0,510000000.0,4438000000.0,268000000.0
Net Income Including Noncontrolling Interests,2187000000.0,510000000.0,4441000000.0,268000000.0
Net Income Continuous Operations,2187000000.0,510000000.0,4120000000.0,460000000.0
Net Income Discontinuous Operations,0.0,0.0,321000000.0,-192000000.0
Minority Interests,0.0,0.0,-3000000.0,0.0
Otherunder Preferred Stock Dividend,,,,0.0
Diluted NI Availto Com Stockholders,2187000000.0,510000000.0,4438000000.0,268000000.0
Basic EPS,8.93,2.08,16.94,0.88
Diluted EPS,8.93,2.07,16.81,0.87
Basic Average Shares,245000000.0,245000000.0,262000000.0,304000000.0
Diluted Average Shares,245000000.0,246000000.0,264000000.0,308000000.0
Total Operating Income As Reported,3341000000.0,1105000000.0,1290000000.0,982000000.0
Total Expenses,23258000000.0,7916000000.0,8510000000.0,8339000000.0
Net Income From Continuing And Discontinued Operation,2187000000.0,510000000.0,4438000000.0,268000000.0
Normalized Income,2544255000.0,576330000.0,4248400000.0,672760000.0
Interest Expense,485000000.0,401000000.0,413000000.0,483000000.0
Net Interest Income,-485000000.0,-401000000.0,-413000000.0,-483000000.0
EBIT,3344000000.0,1162000000.0,1199000000.0,950000000.0
Reconciled Cost Of Revenue,20325000000.0,6416000000.0,7213000000.0,6977000000.0
Reconciled Depreciation,942000000.0,559000000.0,463000000.0,552000000.0
Net Income From Continuing Operation Net Minority Interest,2187000000.0,510000000.0,4117000000.0,460000000.0
Total Unusual Items Excluding Goodwill,-467000000.0,-99000000.0,-180000000.0,-216000000.0
Total Unusual Items,-467000000.0,-99000000.0,-180000000.0,-216000000.0
Normalized EBITDA,4753000000.0,1820000000.0,1842000000.0,1718000000.0
Tax Rate For Calcs,0.235,0.33,0.27,0.015
Tax Effect Of Unusual Items,-109745000.0,-32670000.0,-48600000.0,-3240000.0
