,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,11063000000.0,8612000000.0,8877000000.0,9407000000.0
Operating Revenue,11063000000.0,8612000000.0,8877000000.0,9407000000.0
Cost Of Revenue,4996000000.0,4377000000.0,4259000000.0,4556000000.0
Gross Profit,6067000000.0,4235000000.0,4618000000.0,4851000000.0
Operating Expense,3484000000.0,3931000000.0,4002000000.0,4142000000.0
Selling General And Administration,956000000.0,879000000.0,924000000.0,993000000.0
Research And Development,1936000000.0,1725000000.0,1643000000.0,1700000000.0
Depreciation Amortization Depletion Income Statement,592000000.0,1327000000.0,1435000000.0,1449000000.0
Depreciation And Amortization In Income Statement,592000000.0,1327000000.0,1435000000.0,1449000000.0
Amortization,592000000.0,1327000000.0,1435000000.0,1449000000.0
Amortization Of Intangibles Income Statement,592000000.0,1327000000.0,1435000000.0,1449000000.0
Other Operating Expenses,,-114000000.0,-25000000.0,-1961000000.0
Operating Income,2583000000.0,304000000.0,616000000.0,709000000.0
Net Non Operating Interest Income Expense,-386000000.0,-341000000.0,-324000000.0,-295000000.0
Interest Income Non Operating,4000000.0,13000000.0,57000000.0,48000000.0
Interest Expense Non Operating,369000000.0,362000000.0,370000000.0,273000000.0
Total Other Finance Cost,21000000.0,-8000000.0,11000000.0,70000000.0
Other Income Expense,-17000000.0,38000000.0,-1000000.0,1961000000.0
Gain On Sale Of Security,5000000.0,-16000000.0,-15000000.0,-14000000.0
Special Income Charges,-24000000.0,-60000000.0,-11000000.0,14000000.0
Other Special Charges,22000000.0,60000000.0,11000000.0,26000000.0
Gain On Sale Of Business,-2000000.0,0.0,0.0,39000000.0
Gain On Sale Of Ppe,,,,1000000.0
Other Non Operating Income Expenses,2000000.0,114000000.0,25000000.0,1961000000.0
Pretax Income,2180000000.0,1000000.0,291000000.0,2375000000.0
Tax Provision,272000000.0,-83000000.0,20000000.0,176000000.0
Earnings From Equity Interest Net Of Tax,-2000000.0,-4000000.0,1000000.0,59000000.0
Net Income Common Stockholders,1871000000.0,52000000.0,243000000.0,2208000000.0
Net Income,1871000000.0,52000000.0,243000000.0,2208000000.0
Net Income Including Noncontrolling Interests,1906000000.0,80000000.0,272000000.0,2258000000.0
Net Income Continuous Operations,1906000000.0,80000000.0,272000000.0,2258000000.0
Minority Interests,-35000000.0,-28000000.0,-29000000.0,-50000000.0
Diluted NI Availto Com Stockholders,1871000000.0,52000000.0,243000000.0,2208000000.0
Basic EPS,6.91,0.19,0.86,6.78
Diluted EPS,6.79,0.18,0.85,6.72
Basic Average Shares,270687000.0,279763000.0,282056000.0,325781000.0
Diluted Average Shares,275646000.0,283809000.0,285911000.0,328606000.0
Total Operating Income As Reported,2583000000.0,418000000.0,641000000.0,2710000000.0
Total Expenses,8480000000.0,8308000000.0,8261000000.0,8698000000.0
Net Income From Continuing And Discontinued Operation,1871000000.0,52000000.0,243000000.0,2208000000.0
Normalized Income,1887625000.0,109000000.0,267206000.0,2208000000.0
Interest Income,4000000.0,13000000.0,57000000.0,48000000.0
Interest Expense,369000000.0,362000000.0,370000000.0,273000000.0
Net Interest Income,-386000000.0,-341000000.0,-324000000.0,-295000000.0
EBIT,2549000000.0,363000000.0,661000000.0,2648000000.0
Reconciled Cost Of Revenue,4326000000.0,3716000000.0,3647000000.0,4018000000.0
Reconciled Depreciation,1262000000.0,1988000000.0,2047000000.0,1987000000.0
Net Income From Continuing Operation Net Minority Interest,1871000000.0,52000000.0,243000000.0,2208000000.0
Total Unusual Items Excluding Goodwill,-19000000.0,-76000000.0,-26000000.0,0.0
Total Unusual Items,-19000000.0,-76000000.0,-26000000.0,0.0
Normalized EBITDA,3830000000.0,2427000000.0,2734000000.0,4635000000.0
Tax Rate For Calcs,0.125,0.25,0.069,0.074
Tax Effect Of Unusual Items,-2375000.0,-19000000.0,-1794000.0,0.0
