,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,5256328000.0,4015129000.0,4109111000.0,4043695000.0
Operating Revenue,5256328000.0,4015129000.0,4109111000.0,4043695000.0
Cost Of Revenue,3481268000.0,2786531000.0,2938895000.0,2899452000.0
Gross Profit,1775060000.0,1228598000.0,1170216000.0,1144243000.0
Operating Expense,383458000.0,321716000.0,351510000.0,327192000.0
Selling General And Administration,223757000.0,184185000.0,206125000.0,194368000.0
General And Administrative Expense,223757000.0,184185000.0,206125000.0,194368000.0
Insurance And Claims,53549000.0,42364000.0,52549000.0,44118000.0
Other Gand A,170208000.0,141821000.0,153576000.0,150250000.0
Other Taxes,133452000.0,116943000.0,116839000.0,112210000.0
Other Operating Expenses,26249000.0,20588000.0,28546000.0,20614000.0
Operating Income,1391602000.0,906882000.0,818706000.0,817051000.0
Net Non Operating Interest Income Expense,-941000.0,-952000.0,6386000.0,2924000.0
Interest Income Non Operating,786000.0,1830000.0,6763000.0,3113000.0
Interest Expense Non Operating,1727000.0,2782000.0,377000.0,189000.0
Other Income Expense,-2238000.0,-4566000.0,-1143000.0,-4462000.0
Special Income Charges,,-42364000.0,-52549000.0,-44118000.0
Other Special Charges,,42364000.0,52549000.0,44118000.0
Other Non Operating Income Expenses,-2238000.0,-4566000.0,-1143000.0,-4462000.0
Pretax Income,1388423000.0,901364000.0,823949000.0,815513000.0
Tax Provision,354048000.0,228682000.0,208431000.0,209845000.0
Net Income Common Stockholders,1034375000.0,672682000.0,615518000.0,605668000.0
Net Income,1034375000.0,672682000.0,615518000.0,605668000.0
Net Income Including Noncontrolling Interests,1034375000.0,672682000.0,615518000.0,605668000.0
Net Income Continuous Operations,1034375000.0,672682000.0,615518000.0,605668000.0
Diluted NI Availto Com Stockholders,1034375000.0,672682000.0,615518000.0,605668000.0
Basic EPS,8.94,5.71,5.113333,4.926667
Diluted EPS,8.89,5.68,5.106667,4.92
Basic Average Shares,115651000.0,117737000.0,120414000.0,122886000.0
Diluted Average Shares,116410000.0,118493000.0,120609000.0,123030000.0
Total Operating Income As Reported,1391602000.0,906882000.0,818706000.0,817051000.0
Rent Expense Supplemental,,,,6446000.0
Total Expenses,3864726000.0,3108247000.0,3290405000.0,3226644000.0
Net Income From Continuing And Discontinued Operation,1034375000.0,672682000.0,615518000.0,605668000.0
Normalized Income,1034375000.0,672682000.0,615518000.0,605668000.0
Interest Income,786000.0,1830000.0,6763000.0,3113000.0
Interest Expense,1727000.0,2782000.0,377000.0,189000.0
Net Interest Income,-941000.0,-952000.0,6386000.0,2924000.0
EBIT,1390150000.0,904146000.0,824326000.0,815702000.0
Reconciled Cost Of Revenue,3481268000.0,2786531000.0,2938895000.0,2899452000.0
Reconciled Depreciation,259899000.0,261267000.0,253681000.0,230357000.0
Net Income From Continuing Operation Net Minority Interest,1034375000.0,672682000.0,615518000.0,605668000.0
Total Unusual Items Excluding Goodwill,,-42364000.0,-52549000.0,-44118000.0
Total Unusual Items,,-42364000.0,-52549000.0,-44118000.0
Normalized EBITDA,1650049000.0,1165413000.0,1078007000.0,1046059000.0
Tax Rate For Calcs,0.255,0.254,0.253,0.257
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
