,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,6304000000.0,8096000000.0,7777000000.0,9777000000.0
Operating Revenue,6304000000.0,8096000000.0,7777000000.0,9777000000.0
Cost Of Revenue,2382000000.0,3347000000.0,2274000000.0,4693000000.0
Gross Profit,3922000000.0,4749000000.0,5503000000.0,5084000000.0
Operating Expense,2111000000.0,1970000000.0,1663000000.0,2378000000.0
Selling General And Administration,1668000000.0,1666000000.0,1443000000.0,2013000000.0
Research And Development,443000000.0,304000000.0,220000000.0,365000000.0
Operating Income,1811000000.0,2779000000.0,3840000000.0,2706000000.0
Net Non Operating Interest Income Expense,-258000000.0,,0.0,
Interest Expense Non Operating,258000000.0,,0.0,
Other Income Expense,-24000000.0,-99000000.0,-144000000.0,23000000.0
Gain On Sale Of Security,-4000000.0,,-73000000.0,
Special Income Charges,-3000000.0,-70000000.0,-78000000.0,-119000000.0
Restructuring And Mergern Acquisition,3000000.0,70000000.0,78000000.0,119000000.0
Other Non Operating Income Expenses,-17000000.0,-29000000.0,7000000.0,142000000.0
Pretax Income,1529000000.0,2680000000.0,3696000000.0,2729000000.0
Tax Provision,178000000.0,520000000.0,390000000.0,576000000.0
Net Income Common Stockholders,1351000000.0,2160000000.0,3218000000.0,2153000000.0
Net Income,1351000000.0,2160000000.0,3218000000.0,2153000000.0
Net Income Including Noncontrolling Interests,1351000000.0,2160000000.0,3218000000.0,2153000000.0
Net Income Continuous Operations,1351000000.0,2160000000.0,3306000000.0,2153000000.0
Net Income Discontinuous Operations,0.0,,-88000000.0,
Diluted NI Availto Com Stockholders,1351000000.0,2160000000.0,3218000000.0,2153000000.0
Basic EPS,5.33,8.533,12.712816,8.505498
Diluted EPS,5.31,8.533,12.712816,8.505498
Basic Average Shares,253537941.0,253130375.0,253130375.0,253130375.0
Diluted Average Shares,254192700.0,253130375.0,253130375.0,253130375.0
Total Expenses,4493000000.0,5317000000.0,3937000000.0,7071000000.0
Net Income From Continuing And Discontinued Operation,1351000000.0,2160000000.0,3218000000.0,2153000000.0
Normalized Income,1357181000.0,2216420000.0,3440994000.0,2246891000.0
Interest Expense,258000000.0,,0.0,
Net Interest Income,-258000000.0,,0.0,
EBIT,1787000000.0,2779000000.0,3696000000.0,2706000000.0
Reconciled Cost Of Revenue,2382000000.0,3347000000.0,2274000000.0,4693000000.0
Reconciled Depreciation,195000000.0,157000000.0,333000000.0,1673000000.0
Net Income From Continuing Operation Net Minority Interest,1351000000.0,2160000000.0,3306000000.0,2153000000.0
Total Unusual Items Excluding Goodwill,-7000000.0,-70000000.0,-151000000.0,-119000000.0
Total Unusual Items,-7000000.0,-70000000.0,-151000000.0,-119000000.0
Normalized EBITDA,1989000000.0,3006000000.0,4180000000.0,4498000000.0
Tax Rate For Calcs,0.117,0.194,0.106,0.211
Tax Effect Of Unusual Items,-819000.0,-13580000.0,-16006000.0,-25109000.0
