,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,6739800000.0,5255000000.0,5517900000.0,5878300000.0
Operating Revenue,6739800000.0,5255000000.0,5517900000.0,5878300000.0
Cost Of Revenue,4025500000.0,3539200000.0,3544300000.0,3639600000.0
Gross Profit,2714300000.0,1715800000.0,1973600000.0,2238700000.0
Operating Expense,1352400000.0,1300600000.0,1341100000.0,1380400000.0
Selling General And Administration,598400000.0,537400000.0,585000000.0,618000000.0
General And Administrative Expense,304800000.0,258700000.0,284000000.0,293300000.0
Other Gand A,304800000.0,258700000.0,284000000.0,293300000.0
Selling And Marketing Expense,293600000.0,278700000.0,301000000.0,324700000.0
Research And Development,655000000.0,642900000.0,640900000.0,650700000.0
Depreciation Amortization Depletion Income Statement,99000000.0,120300000.0,115200000.0,111700000.0
Depreciation And Amortization In Income Statement,99000000.0,120300000.0,115200000.0,111700000.0
Amortization,99000000.0,120300000.0,115200000.0,111700000.0
Amortization Of Intangibles Income Statement,99000000.0,120300000.0,115200000.0,111700000.0
Operating Income,1361900000.0,415200000.0,632500000.0,858300000.0
Net Non Operating Interest Income Expense,-129000000.0,-163500000.0,-138100000.0,-122100000.0
Interest Income Non Operating,1400000.0,4900000.0,10200000.0,6100000.0
Interest Expense Non Operating,130400000.0,168400000.0,148300000.0,128200000.0
Total Other Finance Cost,,,6200000.0,4600000.0
Other Income Expense,-75100000.0,-75100000.0,-217800000.0,18800000.0
Special Income Charges,-93100000.0,-66500000.0,-206000000.0,25900000.0
Restructuring And Mergern Acquisition,71400000.0,65200000.0,28700000.0,4300000.0
Impairment Of Capital Assets,2900000.0,1300000.0,1600000.0,6800000.0
Other Special Charges,29000000.0,,175700000.0,4600000.0
Gain On Sale Of Business,10200000.0,0.0,0.0,5000000.0
Gain On Sale Of Ppe,,0.0,0.0,36600000.0
Other Non Operating Income Expenses,18000000.0,-8600000.0,-11800000.0,-7100000.0
Pretax Income,1157800000.0,176600000.0,276600000.0,755000000.0
Tax Provision,146600000.0,-59800000.0,62700000.0,125100000.0
Net Income Common Stockholders,1009600000.0,234200000.0,211700000.0,627400000.0
Net Income,1009600000.0,234200000.0,211700000.0,627400000.0
Net Income Including Noncontrolling Interests,1011200000.0,236400000.0,213900000.0,629900000.0
Net Income Continuous Operations,1011200000.0,236400000.0,213900000.0,629900000.0
Minority Interests,-1600000.0,-2200000.0,-2200000.0,-2500000.0
Diluted NI Availto Com Stockholders,1009600000.0,234200000.0,211700000.0,627400000.0
Basic EPS,2.37,0.57,0.52,1.48
Diluted EPS,2.27,0.56,0.51,1.44
Basic Average Shares,425700000.0,410700000.0,410900000.0,423800000.0
Diluted Average Shares,443800000.0,418800000.0,416000000.0,435900000.0
Total Operating Income As Reported,1287600000.0,348700000.0,432700000.0,847200000.0
Total Expenses,5377900000.0,4839800000.0,4885400000.0,5020000000.0
Net Income From Continuing And Discontinued Operation,1009600000.0,234200000.0,211700000.0,627400000.0
Normalized Income,1090876300.0,282745000.0,370938000.0,605799400.0
Interest Income,1400000.0,4900000.0,10200000.0,6100000.0
Interest Expense,130400000.0,168400000.0,148300000.0,128200000.0
Net Interest Income,-129000000.0,-163500000.0,-138100000.0,-122100000.0
EBIT,1288200000.0,345000000.0,424900000.0,883200000.0
Reconciled Cost Of Revenue,3527800000.0,3034400000.0,3066400000.0,3242600000.0
Reconciled Depreciation,596700000.0,625100000.0,593100000.0,508700000.0
Net Income From Continuing Operation Net Minority Interest,1009600000.0,234200000.0,211700000.0,627400000.0
Total Unusual Items Excluding Goodwill,-93100000.0,-66500000.0,-206000000.0,25900000.0
Total Unusual Items,-93100000.0,-66500000.0,-206000000.0,25900000.0
Normalized EBITDA,1978000000.0,1036600000.0,1224000000.0,1366000000.0
Tax Rate For Calcs,0.127,0.27,0.227,0.166
Tax Effect Of Unusual Items,-11823700.0,-17955000.0,-46762000.0,4299400.0
