,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,13327563000.0,11604493000.0,10149985000.0,9536428000.0
Operating Revenue,13327563000.0,11604493000.0,10149985000.0,9536428000.0
Cost Of Revenue,6307614000.0,5518801000.0,4755294000.0,4496462000.0
Gross Profit,7019949000.0,6085692000.0,5394691000.0,5039966000.0
Operating Expense,4102781000.0,3666356000.0,3473965000.0,3224782000.0
Selling General And Administration,4102781000.0,3666356000.0,3473965000.0,3224782000.0
Operating Income,2917168000.0,2419336000.0,1920726000.0,1815184000.0
Net Non Operating Interest Income Expense,-142797000.0,-158635000.0,-137430000.0,-119608000.0
Interest Income Non Operating,1971000.0,2491000.0,2545000.0,2521000.0
Interest Expense Non Operating,144768000.0,161126000.0,139975000.0,122129000.0
Other Income Expense,7543000.0,5704000.0,7033000.0,-1489000.0
Other Non Operating Income Expenses,7543000.0,5704000.0,7033000.0,-1489000.0
Pretax Income,2781914000.0,2266405000.0,1790329000.0,1694087000.0
Tax Provision,617229000.0,514103000.0,399287000.0,369600000.0
Net Income Common Stockholders,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Net Income,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Net Income Including Noncontrolling Interests,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Net Income Continuous Operations,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Diluted NI Availto Com Stockholders,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Basic EPS,31.39,23.74,18.07,16.27
Diluted EPS,31.1,23.53,17.88,16.1
Basic Average Shares,68967000.0,73817000.0,76985000.0,81406000.0
Diluted Average Shares,69611000.0,74462000.0,77788000.0,82280000.0
Total Operating Income As Reported,2917168000.0,2419336000.0,1920726000.0,1815184000.0
Total Expenses,10410395000.0,9185157000.0,8229259000.0,7721244000.0
Net Income From Continuing And Discontinued Operation,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Normalized Income,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Interest Income,1971000.0,2491000.0,2545000.0,2521000.0
Interest Expense,144768000.0,161126000.0,139975000.0,122129000.0
Net Interest Income,-142797000.0,-158635000.0,-137430000.0,-119608000.0
EBIT,2926682000.0,2427531000.0,1930304000.0,1816216000.0
Reconciled Cost Of Revenue,6307614000.0,5518801000.0,4755294000.0,4496462000.0
Reconciled Depreciation,328217000.0,314635000.0,270875000.0,258937000.0
Net Income From Continuing Operation Net Minority Interest,2164685000.0,1752302000.0,1391042000.0,1324487000.0
Normalized EBITDA,3254899000.0,2742166000.0,2201179000.0,2075153000.0
Tax Rate For Calcs,0.222,0.227,0.223,0.218
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
