,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,28586000000.0,25285000000.0,27812000000.0,14514000000.0
Operating Revenue,28586000000.0,25285000000.0,27812000000.0,14514000000.0
Cost Of Revenue,17744000000.0,14992000000.0,17223000000.0,9111000000.0
Gross Profit,10842000000.0,10293000000.0,10589000000.0,5403000000.0
Operating Expense,6831000000.0,5605000000.0,6090000000.0,2440000000.0
Selling General And Administration,6441000000.0,5389000000.0,5647000000.0,2217000000.0
General And Administrative Expense,6441000000.0,5389000000.0,5647000000.0,2217000000.0
Salaries And Wages,43000000.0,69000000.0,0.0,0.0
Other Gand A,6398000000.0,5320000000.0,5647000000.0,2217000000.0
Depreciation Amortization Depletion Income Statement,390000000.0,430000000.0,443000000.0,223000000.0
Depreciation And Amortization In Income Statement,390000000.0,430000000.0,443000000.0,223000000.0
Other Operating Expenses,,-214000000.0,,
Operating Income,4011000000.0,4688000000.0,4499000000.0,2963000000.0
Net Non Operating Interest Income Expense,-933000000.0,-971000000.0,-896000000.0,-410000000.0
Interest Income Non Operating,53000000.0,60000000.0,66000000.0,57000000.0
Interest Expense Non Operating,986000000.0,1031000000.0,962000000.0,467000000.0
Other Income Expense,2128000000.0,-570000000.0,-258000000.0,-264000000.0
Gain On Sale Of Security,21000000.0,171000000.0,113000000.0,
Special Income Charges,2115000000.0,-744000000.0,-226000000.0,-195000000.0
Restructuring And Mergern Acquisition,100000000.0,618000000.0,775000000.0,195000000.0
Other Special Charges,128000000.0,126000000.0,,
Gain On Sale Of Business,2343000000.0,,0.0,
Gain On Sale Of Ppe,,,549000000.0,
Other Non Operating Income Expenses,-8000000.0,3000000.0,-145000000.0,-69000000.0
Pretax Income,5206000000.0,3147000000.0,3345000000.0,2289000000.0
Tax Provision,646000000.0,535000000.0,-9000000.0,273000000.0
Earnings From Equity Interest Net Of Tax,-91000000.0,-28000000.0,-53000000.0,-56000000.0
Net Income Common Stockholders,4543000000.0,2422000000.0,3308000000.0,1960000000.0
Net Income,4543000000.0,2422000000.0,3308000000.0,1960000000.0
Net Income Including Noncontrolling Interests,4631000000.0,2701000000.0,3339000000.0,1960000000.0
Net Income Continuous Operations,4469000000.0,2584000000.0,3301000000.0,1960000000.0
Net Income Discontinuous Operations,162000000.0,117000000.0,38000000.0,0.0
Minority Interests,-88000000.0,-279000000.0,-31000000.0,
Diluted NI Availto Com Stockholders,4543000000.0,2422000000.0,3308000000.0,1960000000.0
Basic EPS,7.02,3.93,5.38,5.2
Diluted EPS,6.94,3.92,5.36,5.14
Basic Average Shares,641000000.0,616000000.0,615000000.0,377000000.0
Diluted Average Shares,655000000.0,618000000.0,617000000.0,381000000.0
Total Operating Income As Reported,6297000000.0,4139000000.0,4273000000.0,2768000000.0
Total Expenses,24575000000.0,20597000000.0,23313000000.0,11551000000.0
Net Income From Continuing And Discontinued Operation,4543000000.0,2422000000.0,3308000000.0,1960000000.0
Normalized Income,2509864000.0,2780590000.0,3352490000.0,2131795000.0
Interest Income,53000000.0,60000000.0,66000000.0,57000000.0
Interest Expense,986000000.0,1031000000.0,962000000.0,467000000.0
Net Interest Income,-933000000.0,-971000000.0,-896000000.0,-410000000.0
EBIT,6192000000.0,4178000000.0,4307000000.0,2756000000.0
Reconciled Cost Of Revenue,17744000000.0,14992000000.0,17223000000.0,9111000000.0
Reconciled Depreciation,390000000.0,430000000.0,443000000.0,223000000.0
Net Income From Continuing Operation Net Minority Interest,4381000000.0,2305000000.0,3270000000.0,1960000000.0
Total Unusual Items Excluding Goodwill,2136000000.0,-573000000.0,-113000000.0,-195000000.0
Total Unusual Items,2136000000.0,-573000000.0,-113000000.0,-195000000.0
Normalized EBITDA,4446000000.0,5181000000.0,4863000000.0,3174000000.0
Tax Rate For Calcs,0.124,0.17,0.27,0.119
Tax Effect Of Unusual Items,264864000.0,-97410000.0,-30510000.0,-23205000.0
