,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total Revenue,80187000000.0,76118000000.0,70950000000.0,67684000000.0
Operating Revenue,80187000000.0,76118000000.0,70950000000.0,67684000000.0
Cost Of Revenue,42157000000.0,37108000000.0,35250000000.0,34768000000.0
Gross Profit,38030000000.0,39010000000.0,35700000000.0,32916000000.0
Operating Expense,20217000000.0,21024000000.0,19994000000.0,19084000000.0
Selling General And Administration,20217000000.0,21024000000.0,19994000000.0,19084000000.0
Operating Income,17813000000.0,17986000000.0,15706000000.0,13832000000.0
Net Non Operating Interest Income Expense,-388000000.0,-457000000.0,-310000000.0,-289000000.0
Interest Income Non Operating,51000000.0,45000000.0,155000000.0,220000000.0
Interest Expense Non Operating,439000000.0,502000000.0,465000000.0,509000000.0
Other Income Expense,570000000.0,86000000.0,438000000.0,-7474000000.0
Special Income Charges,,0.0,0.0,-8345000000.0
Impairment Of Capital Assets,,0.0,0.0,8345000000.0
Other Non Operating Income Expenses,570000000.0,86000000.0,438000000.0,871000000.0
Pretax Income,17995000000.0,17615000000.0,15834000000.0,6069000000.0
Tax Provision,3202000000.0,3263000000.0,2731000000.0,2103000000.0
Net Income Common Stockholders,14461000000.0,14035000000.0,12764000000.0,3634000000.0
Net Income,14742000000.0,14306000000.0,13027000000.0,3897000000.0
Net Income Including Noncontrolling Interests,14793000000.0,14352000000.0,13103000000.0,3966000000.0
Net Income Continuous Operations,14793000000.0,14352000000.0,13103000000.0,3966000000.0
Net Income Discontinuous Operations,,,,0.0
Minority Interests,-51000000.0,-46000000.0,-76000000.0,-69000000.0
Preferred Stock Dividends,281000000.0,271000000.0,263000000.0,263000000.0
Average Dilution Earnings,281000000.0,271000000.0,263000000.0,
Diluted NI Availto Com Stockholders,14742000000.0,14306000000.0,13027000000.0,3634000000.0
Basic EPS,6.0,5.69,5.13,1.45
Diluted EPS,5.81,5.5,4.96,1.43
Basic Average Shares,2457000000.0,2514235501.0,2539376218.0,2687586207.0
Diluted Average Shares,2539100000.0,2601000000.0,2625800000.0,2687586207.0
Total Operating Income As Reported,17813000000.0,17986000000.0,15706000000.0,5487000000.0
Total Expenses,62374000000.0,58132000000.0,55244000000.0,53852000000.0
Net Income From Continuing And Discontinued Operation,14742000000.0,14306000000.0,13027000000.0,3897000000.0
Normalized Income,14742000000.0,14306000000.0,13027000000.0,9346285000.0
Interest Income,51000000.0,45000000.0,155000000.0,220000000.0
Interest Expense,439000000.0,502000000.0,465000000.0,509000000.0
Net Interest Income,-388000000.0,-457000000.0,-310000000.0,-289000000.0
EBIT,18434000000.0,18117000000.0,16299000000.0,6578000000.0
Reconciled Cost Of Revenue,42157000000.0,37108000000.0,35250000000.0,34768000000.0
Reconciled Depreciation,2807000000.0,2735000000.0,3013000000.0,2824000000.0
Net Income From Continuing Operation Net Minority Interest,14742000000.0,14306000000.0,13027000000.0,3897000000.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,-8345000000.0
Total Unusual Items,,0.0,0.0,-8345000000.0
Normalized EBITDA,21241000000.0,20852000000.0,19312000000.0,17747000000.0
Tax Rate For Calcs,0.178,0.185,0.172,0.347
Tax Effect Of Unusual Items,0.0,0.0,0.0,-2895715000.0
