,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,47676500000.0,42638100000.0,38997700000.0,31954700000.0
Operating Revenue,47676500000.0,42638100000.0,38997700000.0,31954700000.0
Selling General And Administration,,,178900000.0,134100000.0
General And Administrative Expense,,,178900000.0,134100000.0
Salaries And Wages,,,178900000.0,134100000.0
Other Operating Expenses,,205500000.0,178900000.0,134100000.0
Net Non Operating Interest Income Expense,-218600000.0,-217000000.0,-189700000.0,-166500000.0
Interest Expense Non Operating,218600000.0,217000000.0,189700000.0,166500000.0
Other Income Expense,,226400000.0,195000000.0,158500000.0
Pretax Income,4210000000.0,7173200000.0,5160300000.0,3163600000.0
Tax Provision,859100000.0,1468600000.0,1180300000.0,542600000.0
Net Income Common Stockholders,3324000000.0,5677700000.0,3943400000.0,2593900000.0
Net Income,3350900000.0,5704600000.0,3970300000.0,2615300000.0
Net Income Including Noncontrolling Interests,3350900000.0,5704600000.0,3980000000.0,2621000000.0
Net Income Continuous Operations,3350900000.0,5704600000.0,3980000000.0,2621000000.0
Minority Interests,0.0,0.0,-9700000.0,-5700000.0
Preferred Stock Dividends,26900000.0,26900000.0,26900000.0,21400000.0
Diluted NI Availto Com Stockholders,3324000000.0,5677700000.0,3943400000.0,2593900000.0
Basic EPS,5.69,9.71,6.75,4.45
Diluted EPS,5.66,9.66,6.72,4.42
Basic Average Shares,584500000.0,584900000.0,583800000.0,582400000.0
Diluted Average Shares,587100000.0,587600000.0,587200000.0,586700000.0
Total Expenses,43466500000.0,35464900000.0,33837400000.0,28791100000.0
Net Income From Continuing And Discontinued Operation,3350900000.0,5704600000.0,3970300000.0,2615300000.0
Normalized Income,3350900000.0,5704600000.0,3970300000.0,2615300000.0
Interest Expense,218600000.0,217000000.0,189700000.0,166500000.0
Net Interest Income,-218600000.0,-217000000.0,-189700000.0,-166500000.0
EBIT,4428600000.0,7390200000.0,5350000000.0,3330100000.0
Reconciled Depreciation,337400000.0,331800000.0,306100000.0,262400000.0
Net Income From Continuing Operation Net Minority Interest,3350900000.0,5704600000.0,3970300000.0,2615300000.0
Tax Rate For Calcs,0.2,0.2,0.228727,0.17
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
