,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,16802000000.0,13834000000.0,15146000000.0,15374000000.0
Operating Revenue,16802000000.0,13834000000.0,15146000000.0,15374000000.0
Cost Of Revenue,10286000000.0,7777000000.0,8653000000.0,9001000000.0
Gross Profit,6516000000.0,6057000000.0,6493000000.0,6373000000.0
Operating Expense,4822000000.0,4270000000.0,4539000000.0,4501000000.0
Selling General And Administration,3830000000.0,3389000000.0,3604000000.0,3573000000.0
General And Administrative Expense,3830000000.0,3389000000.0,3604000000.0,3573000000.0
Salaries And Wages,50000000.0,,0.0,0.0
Other Gand A,3780000000.0,3389000000.0,3604000000.0,3573000000.0
Research And Development,439000000.0,379000000.0,432000000.0,441000000.0
Depreciation Amortization Depletion Income Statement,561000000.0,509000000.0,511000000.0,497000000.0
Depreciation And Amortization In Income Statement,561000000.0,509000000.0,511000000.0,497000000.0
Depreciation Income Statement,389000000.0,371000000.0,375000000.0,354000000.0
Amortization,172000000.0,138000000.0,136000000.0,143000000.0
Amortization Of Intangibles Income Statement,172000000.0,138000000.0,136000000.0,143000000.0
Other Operating Expenses,-8000000.0,-7000000.0,-8000000.0,-10000000.0
Operating Income,1694000000.0,1787000000.0,1954000000.0,1872000000.0
Net Non Operating Interest Income Expense,-95000000.0,-115000000.0,-100000000.0,-95000000.0
Interest Income Non Operating,26000000.0,23000000.0,32000000.0,23000000.0
Interest Expense Non Operating,121000000.0,138000000.0,132000000.0,118000000.0
Other Income Expense,216000000.0,-310000000.0,-193000000.0,-84000000.0
Earnings From Equity Interest,15000000.0,8000000.0,11000000.0,16000000.0
Special Income Charges,17000000.0,-262000000.0,-169000000.0,-33000000.0
Restructuring And Mergern Acquisition,31000000.0,174000000.0,176000000.0,66000000.0
Impairment Of Capital Assets,,93000000.0,,
Write Off,21000000.0,93000000.0,,
Other Special Charges,-22000000.0,,,
Gain On Sale Of Business,,,0.0,0.0
Gain On Sale Of Ppe,47000000.0,5000000.0,7000000.0,33000000.0
Other Non Operating Income Expenses,184000000.0,-56000000.0,-35000000.0,-67000000.0
Pretax Income,1815000000.0,1362000000.0,1661000000.0,1693000000.0
Tax Provision,374000000.0,291000000.0,392000000.0,353000000.0
Net Income Common Stockholders,1439000000.0,1059000000.0,1243000000.0,1341000000.0
Net Income,1439000000.0,1059000000.0,1243000000.0,1341000000.0
Net Income Including Noncontrolling Interests,1460000000.0,1074000000.0,1269000000.0,1358000000.0
Net Income Continuous Operations,1441000000.0,1071000000.0,1269000000.0,1340000000.0
Net Income Discontinuous Operations,19000000.0,3000000.0,0.0,18000000.0
Minority Interests,-21000000.0,-15000000.0,-26000000.0,-17000000.0
Diluted NI Availto Com Stockholders,1439000000.0,1059000000.0,1243000000.0,1341000000.0
Basic EPS,6.06,4.47,5.25,5.5
Diluted EPS,6.01,4.45,5.22,5.47
Basic Average Shares,237600000.0,236800000.0,236900000.0,243900000.0
Diluted Average Shares,239400000.0,237900000.0,238200000.0,245400000.0
Total Expenses,15108000000.0,12047000000.0,13192000000.0,13502000000.0
Net Income From Continuing And Discontinued Operation,1439000000.0,1059000000.0,1243000000.0,1341000000.0
Normalized Income,1406502000.0,1261932000.0,1372116000.0,1349103000.0
Interest Income,26000000.0,23000000.0,32000000.0,23000000.0
Interest Expense,121000000.0,138000000.0,132000000.0,118000000.0
Net Interest Income,-95000000.0,-115000000.0,-100000000.0,-95000000.0
EBIT,1936000000.0,1500000000.0,1793000000.0,1811000000.0
Reconciled Cost Of Revenue,10286000000.0,7777000000.0,8653000000.0,9001000000.0
Reconciled Depreciation,561000000.0,509000000.0,511000000.0,497000000.0
Net Income From Continuing Operation Net Minority Interest,1420000000.0,1056000000.0,1243000000.0,1323000000.0
Total Unusual Items Excluding Goodwill,17000000.0,-262000000.0,-169000000.0,-33000000.0
Total Unusual Items,17000000.0,-262000000.0,-169000000.0,-33000000.0
Normalized EBITDA,2480000000.0,2271000000.0,2473000000.0,2341000000.0
Tax Rate For Calcs,0.206,0.214,0.236,0.209
Tax Effect Of Unusual Items,3502000.0,-56068000.0,-39884000.0,-6897000.0
