,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,3415824000.0,2915068000.0,2846823000.0,2754280000.0
Operating Revenue,3415824000.0,2915068000.0,2846823000.0,2754280000.0
Cost Of Revenue,920598000.0,867462000.0,796783000.0,739722000.0
Gross Profit,2495226000.0,2047606000.0,2050040000.0,2014558000.0
Operating Expense,814682000.0,636456000.0,584901000.0,602366000.0
Selling General And Administration,81321000.0,65174000.0,60052000.0,107841000.0
General And Administrative Expense,81321000.0,65174000.0,60052000.0,107841000.0
Salaries And Wages,37760000.0,21689000.0,28921000.0,75853000.0
Other Gand A,43561000.0,43485000.0,31131000.0,31988000.0
Research And Development,8403000.0,10076000.0,6850000.0,5441000.0
Depreciation Amortization Depletion Income Statement,713428000.0,553257000.0,512918000.0,483646000.0
Depreciation And Amortization In Income Statement,713428000.0,553257000.0,512918000.0,483646000.0
Other Taxes,11530000.0,7949000.0,5081000.0,5438000.0
Operating Income,1680544000.0,1411150000.0,1465139000.0,1412192000.0
Net Non Operating Interest Income Expense,-78468000.0,-33960000.0,-17205000.0,-6058000.0
Interest Income Non Operating,12306000.0,22323000.0,28436000.0,26442000.0
Interest Expense Non Operating,90774000.0,56283000.0,45641000.0,32500000.0
Other Income Expense,357563000.0,-15963000.0,77717000.0,311131000.0
Gain On Sale Of Security,125470000.0,-96460000.0,8170000.0,56020000.0
Earnings From Equity Interest,232093000.0,80497000.0,69547000.0,103495000.0
Special Income Charges,,,0.0,0.0
Other Non Operating Income Expenses,,,,151616000.0
Pretax Income,1959639000.0,1361227000.0,1525651000.0,1717265000.0
Net Income Common Stockholders,1732444000.0,1098335000.0,1272767000.0,1488900000.0
Net Income,1953263000.0,1357213000.0,1520534000.0,1711031000.0
Net Income Including Noncontrolling Interests,1959639000.0,1361227000.0,1525651000.0,1717223000.0
Net Income Continuous Operations,1959639000.0,1361227000.0,1525651000.0,1717223000.0
Minority Interests,-6376000.0,-4014000.0,-5117000.0,-6192000.0
Preferred Stock Dividends,186579000.0,207068000.0,210179000.0,216316000.0
Otherunder Preferred Stock Dividend,34240000.0,51810000.0,37588000.0,5815000.0
Diluted NI Availto Com Stockholders,1732444000.0,1098335000.0,1272767000.0,1488900000.0
Basic EPS,9.91,6.29,7.3,8.56
Diluted EPS,9.87,6.29,7.29,8.54
Basic Average Shares,174858000.0,174494000.0,174287000.0,173969000.0
Diluted Average Shares,175568000.0,174642000.0,174530000.0,174297000.0
Total Expenses,1735280000.0,1503918000.0,1381684000.0,1342088000.0
Net Income From Continuing And Discontinued Operation,1953263000.0,1357213000.0,1520534000.0,1711031000.0
Normalized Income,1861669900.0,1427628800.0,1514569900.0,1670136400.0
Interest Income,12306000.0,22323000.0,28436000.0,26442000.0
Interest Expense,90774000.0,56283000.0,45641000.0,32500000.0
Net Interest Income,-78468000.0,-33960000.0,-17205000.0,-6058000.0
EBIT,2050413000.0,1417510000.0,1571292000.0,1749765000.0
Reconciled Cost Of Revenue,920598000.0,867462000.0,796783000.0,739722000.0
Reconciled Depreciation,713428000.0,553257000.0,512918000.0,483646000.0
Net Income From Continuing Operation Net Minority Interest,1953263000.0,1357213000.0,1520534000.0,1711031000.0
Total Unusual Items Excluding Goodwill,125470000.0,-96460000.0,8170000.0,56020000.0
Total Unusual Items,125470000.0,-96460000.0,8170000.0,56020000.0
Normalized EBITDA,2638371000.0,2067227000.0,2076040000.0,2177391000.0
Tax Rate For Calcs,0.27,0.27,0.27,0.27
Tax Effect Of Unusual Items,33876900.0,-26044200.0,2205900.0,15125400.0
