,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total Revenue,1933347000.0,1807159000.0,1458415000.0,1255631000.0
Operating Revenue,1933347000.0,1807159000.0,1458415000.0,1255631000.0
Cost Of Revenue,385980000.0,371102000.0,334271000.0,325378000.0
Gross Profit,1547367000.0,1436057000.0,1124144000.0,930253000.0
Operating Expense,1068871000.0,1053098000.0,880565000.0,816097000.0
Selling General And Administration,695079000.0,723785000.0,595277000.0,545368000.0
General And Administrative Expense,209832000.0,206006000.0,159826000.0,127919000.0
Other Gand A,209832000.0,206006000.0,159826000.0,127919000.0
Selling And Marketing Expense,485247000.0,517779000.0,435451000.0,417449000.0
Research And Development,338822000.0,299917000.0,256575000.0,246888000.0
Depreciation Amortization Depletion Income Statement,34970000.0,29396000.0,28713000.0,23841000.0
Depreciation And Amortization In Income Statement,34970000.0,29396000.0,28713000.0,23841000.0
Amortization,34970000.0,29396000.0,28713000.0,23841000.0
Amortization Of Intangibles Income Statement,34970000.0,29396000.0,28713000.0,23841000.0
Operating Income,478496000.0,382959000.0,243579000.0,114156000.0
Net Non Operating Interest Income Expense,-51768000.0,-48678000.0,-76428000.0,-38947000.0
Interest Income Non Operating,2500000.0,1800000.0,,4100000.0
Interest Expense Non Operating,54268000.0,50478000.0,76428000.0,43047000.0
Other Income Expense,-29600000.0,57500000.0,-32445000.0,-54914000.0
Gain On Sale Of Security,,,,-3200000.0
Special Income Charges,-32400000.0,-2200000.0,-32716000.0,-51114000.0
Restructuring And Mergern Acquisition,32400000.0,2100000.0,32716000.0,51114000.0
Impairment Of Capital Assets,,100000.0,,
Other Non Operating Income Expenses,2800000.0,59700000.0,271000.0,-600000.0
Pretax Income,397098000.0,391755000.0,134706000.0,20300000.0
Tax Provision,84017000.0,-85168000.0,4011000.0,47760000.0
Net Income Common Stockholders,313081000.0,476923000.0,130695000.0,-27460000.0
Net Income,313081000.0,476923000.0,130695000.0,-27460000.0
Net Income Including Noncontrolling Interests,313081000.0,476923000.0,130695000.0,-27460000.0
Net Income Continuous Operations,313081000.0,476923000.0,130695000.0,-27460000.0
Diluted NI Availto Com Stockholders,313081000.0,476923000.0,130695000.0,-27460000.0
Basic EPS,,4.08,1.13,-0.23
Diluted EPS,,4.03,1.12,-0.23
Basic Average Shares,,116836000.0,115663000.0,117724000.0
Diluted Average Shares,,118367000.0,116267000.0,117724000.0
Total Operating Income As Reported,447362000.0,380748000.0,210863000.0,63042000.0
Total Expenses,1454851000.0,1424200000.0,1214836000.0,1141475000.0
Net Income From Continuing And Discontinued Operation,313081000.0,476923000.0,130695000.0,-27460000.0
Normalized Income,338677000.0,478529000.0,162429520.0,12189220.0
Interest Income,2500000.0,1800000.0,,4100000.0
Interest Expense,54268000.0,50478000.0,76428000.0,43047000.0
Net Interest Income,-51768000.0,-48678000.0,-76428000.0,-38947000.0
EBIT,451366000.0,442233000.0,211134000.0,63347000.0
Reconciled Cost Of Revenue,298910000.0,277964000.0,243480000.0,271395000.0
Reconciled Depreciation,122040000.0,122534000.0,119504000.0,77824000.0
Net Income From Continuing Operation Net Minority Interest,313081000.0,476923000.0,130695000.0,-27460000.0
Total Unusual Items Excluding Goodwill,-32400000.0,-2200000.0,-32716000.0,-54314000.0
Total Unusual Items,-32400000.0,-2200000.0,-32716000.0,-54314000.0
Normalized EBITDA,605806000.0,566967000.0,363354000.0,195485000.0
Tax Rate For Calcs,0.21,0.27,0.03,0.27
Tax Effect Of Unusual Items,-6804000.0,-594000.0,-981480.0,-14664780.0
