,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,16071700000.0,8497100000.0,7863400000.0,6710800000.0
Operating Revenue,15790500000.0,7940100000.0,7450000000.0,6294000000.0
Cost Of Revenue,2437500000.0,1119900000.0,782200000.0,434100000.0
Gross Profit,13634200000.0,7377200000.0,7081200000.0,6276700000.0
Operating Expense,4687400000.0,3800600000.0,4871400000.0,3742300000.0
Selling General And Administration,1824900000.0,1346000000.0,1834800000.0,1556200000.0
Research And Development,2908100000.0,2735000000.0,3036600000.0,2186100000.0
Other Operating Expenses,-45600000.0,-280400000.0,,
Operating Income,8946800000.0,3576600000.0,2209800000.0,2534400000.0
Net Non Operating Interest Income Expense,-57300000.0,-56900000.0,-30200000.0,-28200000.0
Interest Expense Non Operating,57300000.0,56900000.0,30200000.0,28200000.0
Other Income Expense,436300000.0,290700000.0,249500000.0,47300000.0
Other Non Operating Income Expenses,436300000.0,290700000.0,249500000.0,47300000.0
Pretax Income,9325800000.0,3810400000.0,2429100000.0,2553500000.0
Tax Provision,1250500000.0,297200000.0,313300000.0,109100000.0
Net Income Common Stockholders,8075300000.0,3513200000.0,2115800000.0,2444400000.0
Net Income,8075300000.0,3513200000.0,2115800000.0,2444400000.0
Net Income Including Noncontrolling Interests,8075300000.0,3513200000.0,2115800000.0,2444400000.0
Net Income Continuous Operations,8075300000.0,3513200000.0,2115800000.0,2444400000.0
Average Dilution Earnings,,,,0.0
Diluted NI Availto Com Stockholders,8075300000.0,3513200000.0,2115800000.0,2444400000.0
Basic EPS,76.399998,32.649999,19.38,22.65
Diluted EPS,71.969999,30.519999,18.46,21.29
Basic Average Shares,105700002.0,107600002.0,109200002.0,107900002.0
Diluted Average Shares,112200002.0,115100002.0,114600002.0,114800002.0
Total Operating Income As Reported,8946800000.0,3576600000.0,2209800000.0,2534400000.0
Total Expenses,7124900000.0,4920500000.0,5653600000.0,4176400000.0
Net Income From Continuing And Discontinued Operation,8075300000.0,3513200000.0,2115800000.0,2444400000.0
Normalized Income,8075300000.0,3513200000.0,2115800000.0,2444400000.0
Interest Expense,57300000.0,56900000.0,30200000.0,28200000.0
Net Interest Income,-57300000.0,-56900000.0,-30200000.0,-28200000.0
EBIT,9383100000.0,3867300000.0,2459300000.0,2581700000.0
Reconciled Cost Of Revenue,2437500000.0,1119900000.0,782200000.0,434100000.0
Reconciled Depreciation,286200000.0,235900000.0,210300000.0,148200000.0
Net Income From Continuing Operation Net Minority Interest,8075300000.0,3513200000.0,2115800000.0,2444400000.0
Normalized EBITDA,9669300000.0,4103200000.0,2669600000.0,2729900000.0
Tax Rate For Calcs,0.134,0.078,0.129,0.043
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
