,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total Revenue,3578127000.0,3196825000.0,2957013000.0,2606572000.0
Operating Revenue,3578127000.0,3196825000.0,2957013000.0,2606572000.0
Cost Of Revenue,1553816000.0,1357725000.0,1239227000.0,1069987000.0
Gross Profit,2024311000.0,1839100000.0,1717786000.0,1536585000.0
Operating Expense,1024025000.0,926749000.0,908727000.0,900599000.0
Selling General And Administration,739372000.0,670387000.0,676689000.0,645010000.0
Research And Development,253575000.0,225284000.0,201946000.0,180651000.0
Depreciation Amortization Depletion Income Statement,31078000.0,31078000.0,30092000.0,74938000.0
Depreciation And Amortization In Income Statement,31078000.0,31078000.0,30092000.0,74938000.0
Amortization,31078000.0,31078000.0,30092000.0,74938000.0
Amortization Of Intangibles Income Statement,31078000.0,31078000.0,30092000.0,74938000.0
Operating Income,1000286000.0,912351000.0,809059000.0,635986000.0
Net Non Operating Interest Income Expense,-22312000.0,-23627000.0,-39356000.0,-33857000.0
Interest Income Non Operating,,362000.0,1021000.0,2299000.0
Interest Expense Non Operating,,23989000.0,40377000.0,36156000.0
Total Other Finance Cost,22312000.0,23627000.0,39356000.0,33857000.0
Other Income Expense,-17491000.0,-5062000.0,-36615000.0,-83282000.0
Gain On Sale Of Security,,13762000.0,1331000.0,1712000.0
Earnings From Equity Interest,-20688000.0,-11205000.0,-25058000.0,-15833000.0
Special Income Charges,0.0,-8673000.0,-13919000.0,-71730000.0
Restructuring And Mergern Acquisition,0.0,8673000.0,0.0,15524000.0
Write Off,,,14519000.0,15007000.0
Other Special Charges,,,-600000.0,41199000.0
Other Non Operating Income Expenses,3197000.0,1054000.0,1031000.0,2569000.0
Pretax Income,960483000.0,883662000.0,733088000.0,518847000.0
Tax Provision,181046000.0,409157000.0,111414000.0,114255000.0
Net Income Common Stockholders,779437000.0,474505000.0,621674000.0,404592000.0
Net Income,779437000.0,474505000.0,621674000.0,404592000.0
Net Income Including Noncontrolling Interests,779437000.0,474505000.0,621674000.0,404592000.0
Net Income Continuous Operations,779437000.0,474505000.0,621674000.0,404592000.0
Diluted NI Availto Com Stockholders,779437000.0,474505000.0,621674000.0,404592000.0
Basic EPS,5.34,3.27,4.31,2.83
Diluted EPS,5.3,3.24,4.27,2.8
Basic Average Shares,146066000.0,145313000.0,144338000.0,143111000.0
Diluted Average Shares,147043000.0,146451000.0,145652000.0,144484000.0
Total Operating Income As Reported,1000286000.0,903678000.0,809659000.0,579263000.0
Total Expenses,2577841000.0,2284474000.0,2147954000.0,1970586000.0
Net Income From Continuing And Discontinued Operation,779437000.0,474505000.0,621674000.0,404592000.0
Normalized Income,779437000.0,470790030.0,632348624.0,459206040.0
Interest Income,,362000.0,1021000.0,2299000.0
Interest Expense,,23989000.0,40377000.0,36156000.0
Net Interest Income,-22312000.0,-23627000.0,-39356000.0,-33857000.0
EBIT,1000286000.0,907651000.0,773465000.0,555003000.0
Reconciled Cost Of Revenue,1391053000.0,1197285000.0,1087946000.0,994130000.0
Reconciled Depreciation,193841000.0,191518000.0,181373000.0,150795000.0
Net Income From Continuing Operation Net Minority Interest,779437000.0,474505000.0,621674000.0,404592000.0
Total Unusual Items Excluding Goodwill,0.0,5089000.0,-12588000.0,-70018000.0
Total Unusual Items,0.0,5089000.0,-12588000.0,-70018000.0
Normalized EBITDA,1194127000.0,1094080000.0,967426000.0,775816000.0
Tax Rate For Calcs,0.188,0.27,0.152,0.22
Tax Effect Of Unusual Items,0.0,1374030.0,-1913376.0,-15403960.0
