,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Total Revenue,18916244000.0,12531565000.0,16039073000.0,14983541000.0
Operating Revenue,18916244000.0,12531565000.0,16039073000.0,14983541000.0
Cost Of Revenue,13708907000.0,9838574000.0,11536187000.0,10726277000.0
Gross Profit,5207337000.0,2692991000.0,4502886000.0,4257264000.0
Operating Expense,2874469000.0,2503281000.0,2356704000.0,2216550000.0
Selling General And Administration,2874469000.0,2503281000.0,2356704000.0,2216550000.0
Operating Income,2332868000.0,189710000.0,2146182000.0,2040714000.0
Net Non Operating Interest Income Expense,-74328000.0,-83413000.0,18106000.0,10162000.0
Interest Income Non Operating,833000.0,4651000.0,27846000.0,26569000.0
Interest Expense Non Operating,75161000.0,88064000.0,9740000.0,16407000.0
Total Other Finance Cost,74328000.0,83413000.0,,-10162000.0
Pretax Income,2258540000.0,106297000.0,2164288000.0,2050876000.0
Tax Provision,535951000.0,20915000.0,503360000.0,463419000.0
Net Income Common Stockholders,1722589000.0,85382000.0,1660928000.0,1587457000.0
Net Income,1722589000.0,85382000.0,1660928000.0,1587457000.0
Net Income Including Noncontrolling Interests,1722589000.0,85382000.0,1660928000.0,1587457000.0
Net Income Continuous Operations,1722589000.0,85382000.0,1660928000.0,1587457000.0
Diluted NI Availto Com Stockholders,1722589000.0,85382000.0,1660928000.0,1587457000.0
Basic EPS,4.9,0.24,4.63,4.3
Diluted EPS,4.87,0.24,4.6,4.26
Basic Average Shares,351496000.0,352392000.0,358462000.0,369533000.0
Diluted Average Shares,353734000.0,354619000.0,361182000.0,372678000.0
Total Expenses,16583376000.0,12341855000.0,13892891000.0,12942827000.0
Net Income From Continuing And Discontinued Operation,1722589000.0,85382000.0,1660928000.0,1587457000.0
Normalized Income,1722589000.0,85382000.0,1660928000.0,1587457000.0
Interest Income,833000.0,4651000.0,27846000.0,26569000.0
Interest Expense,75161000.0,88064000.0,9740000.0,16407000.0
Net Interest Income,-74328000.0,-83413000.0,18106000.0,10162000.0
EBIT,2333701000.0,194361000.0,2174028000.0,2067283000.0
Reconciled Cost Of Revenue,13708907000.0,9838574000.0,11536187000.0,10726277000.0
Reconciled Depreciation,360664000.0,364245000.0,350892000.0,330357000.0
Net Income From Continuing Operation Net Minority Interest,1722589000.0,85382000.0,1660928000.0,1587457000.0
Normalized EBITDA,2694365000.0,558606000.0,2524920000.0,2397640000.0
Tax Rate For Calcs,0.2373,0.197,0.23,0.23
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
