,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,64388000000.0,56587000000.0,77046000000.0,66501000000.0
Operating Revenue,64388000000.0,56587000000.0,77046000000.0,66501000000.0
Cost Of Revenue,51897000000.0,48056000000.0,57065000000.0,49985000000.0
Gross Profit,12491000000.0,8531000000.0,19981000000.0,16516000000.0
Operating Expense,7533000000.0,7237000000.0,11015000000.0,7963000000.0
Selling General And Administration,5224000000.0,5540000000.0,8521000000.0,7066000000.0
Research And Development,2732000000.0,2582000000.0,3015000000.0,2462000000.0
Other Operating Expenses,-423000000.0,-885000000.0,-521000000.0,-1565000000.0
Operating Income,4958000000.0,1294000000.0,8966000000.0,8553000000.0
Net Non Operating Interest Income Expense,-1322000000.0,-1366000000.0,-1611000000.0,-1038000000.0
Interest Income Non Operating,36000000.0,42000000.0,162000000.0,187000000.0
Interest Expense Non Operating,1358000000.0,1408000000.0,1773000000.0,1225000000.0
Total Other Finance Cost,,,1611000000.0,1038000000.0
Other Income Expense,1295000000.0,-2281000000.0,888000000.0,765000000.0
Special Income Charges,-649000000.0,-3183000000.0,,
Impairment Of Capital Assets,0.0,3183000000.0,,
Other Special Charges,649000000.0,,,
Other Non Operating Income Expenses,1944000000.0,902000000.0,888000000.0,765000000.0
Pretax Income,4931000000.0,-2353000000.0,8243000000.0,8280000000.0
Tax Provision,786000000.0,575000000.0,2295000000.0,2626000000.0
Net Income Common Stockholders,3864000000.0,-3519000000.0,5537000000.0,5269000000.0
Net Income,3864000000.0,-3519000000.0,5537000000.0,5269000000.0
Net Income Including Noncontrolling Interests,4112000000.0,-3338000000.0,5948000000.0,5654000000.0
Net Income Continuous Operations,4145000000.0,-2928000000.0,5948000000.0,5654000000.0
Net Income Discontinuous Operations,-33000000.0,-410000000.0,-411000000.0,0.0
Minority Interests,-248000000.0,-181000000.0,-411000000.0,-385000000.0
Diluted NI Availto Com Stockholders,3864000000.0,-3519000000.0,5537000000.0,5269000000.0
Basic EPS,2.57,-2.59,6.48,6.58
Diluted EPS,2.56,-2.59,6.41,6.5
Basic Average Shares,1501600000.0,1357800000.0,855000000.0,800000000.0
Diluted Average Shares,1508500000.0,1357800000.0,864000000.0,810000000.0
Total Operating Income As Reported,4958000000.0,-1889000000.0,8966000000.0,8553000000.0
Total Expenses,59430000000.0,55293000000.0,68080000000.0,57948000000.0
Net Income From Continuing And Discontinued Operation,3864000000.0,-3519000000.0,5537000000.0,5269000000.0
Normalized Income,4442809000.0,-785410000.0,5537000000.0,5269000000.0
Interest Income,36000000.0,42000000.0,162000000.0,187000000.0
Interest Expense,1358000000.0,1408000000.0,1773000000.0,1225000000.0
Net Interest Income,-1322000000.0,-1366000000.0,-1611000000.0,-1038000000.0
EBIT,6289000000.0,-945000000.0,10016000000.0,9505000000.0
Reconciled Cost Of Revenue,51897000000.0,48056000000.0,57065000000.0,49985000000.0
Reconciled Depreciation,4557000000.0,4156000000.0,3783000000.0,2433000000.0
Net Income From Continuing Operation Net Minority Interest,3897000000.0,-3109000000.0,5537000000.0,5269000000.0
Total Unusual Items Excluding Goodwill,-649000000.0,-3183000000.0,,
Total Unusual Items,-649000000.0,-3183000000.0,,
Normalized EBITDA,11495000000.0,6394000000.0,13799000000.0,11938000000.0
Tax Rate For Calcs,0.159,0.27,0.278,0.317
Tax Effect Of Unusual Items,-103191000.0,-859410000.0,0.0,0.0
