,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total Revenue,32250300000.0,29060600000.0,23518000000.0,26508600000.0
Operating Revenue,30231600000.0,27290600000.0,21491700000.0,24419400000.0
Cost Of Revenue,23879200000.0,20669600000.0,18458900000.0,19020500000.0
Gross Profit,8371100000.0,8391000000.0,5059100000.0,7488100000.0
Operating Expense,3941400000.0,3733800000.0,3541200000.0,3572400000.0
Selling General And Administration,2032000000.0,1932600000.0,1679600000.0,1824100000.0
General And Administrative Expense,2032000000.0,1932600000.0,1679600000.0,1824100000.0
Other Gand A,2032000000.0,1932600000.0,1679600000.0,1824100000.0
Depreciation Amortization Depletion Income Statement,1447900000.0,1441700000.0,1431300000.0,1377300000.0
Depreciation And Amortization In Income Statement,1447900000.0,1441700000.0,1431300000.0,1377300000.0
Other Operating Expenses,461500000.0,359500000.0,430300000.0,371000000.0
Operating Income,4429700000.0,4657200000.0,1517900000.0,3915700000.0
Net Non Operating Interest Income Expense,-385900000.0,-379700000.0,-397300000.0,-234500000.0
Interest Income Non Operating,97000000.0,90100000.0,39700000.0,96500000.0
Interest Expense Non Operating,482900000.0,469800000.0,437000000.0,331000000.0
Other Income Expense,188100000.0,1079400000.0,43800000.0,785000000.0
Earnings From Equity Interest,234100000.0,385300000.0,322500000.0,298000000.0
Special Income Charges,-46000000.0,694100000.0,-278700000.0,487000000.0
Restructuring And Mergern Acquisition,46000000.0,170400000.0,278700000.0,135800000.0
Gain On Sale Of Business,0.0,864500000.0,0.0,622800000.0
Pretax Income,4231900000.0,5356900000.0,1164400000.0,4466200000.0
Tax Provision,948500000.0,1156600000.0,239700000.0,871600000.0
Net Income Common Stockholders,3281600000.0,4199300000.0,928300000.0,3599200000.0
Net Income,3281600000.0,4199300000.0,928300000.0,3599200000.0
Net Income Including Noncontrolling Interests,3283400000.0,4200300000.0,924700000.0,3594600000.0
Net Income Continuous Operations,3283400000.0,4200300000.0,924700000.0,3594600000.0
Minority Interests,-1800000.0,-1000000.0,3600000.0,4600000.0
Diluted NI Availto Com Stockholders,3281600000.0,4199300000.0,928300000.0,3599200000.0
Basic EPS,,3.561445,0.791187,3.038325
Diluted EPS,,3.54,0.79,2.92
Basic Average Shares,,1180000000.0,1173300000.0,1184600000.0
Diluted Average Shares,,1185500000.0,1181800000.0,1233200000.0
Total Operating Income As Reported,4617800000.0,4872100000.0,1561700000.0,4077900000.0
Rent Expense Supplemental,2674100000.0,2561500000.0,,
Total Expenses,27820600000.0,24403400000.0,22000100000.0,22592900000.0
Net Income From Continuing And Discontinued Operation,3281600000.0,4199300000.0,928300000.0,3599200000.0
Normalized Income,3317296000.0,3655125600.0,1149587800.0,3207165000.0
Interest Income,97000000.0,90100000.0,39700000.0,96500000.0
Interest Expense,482900000.0,469800000.0,437000000.0,331000000.0
Net Interest Income,-385900000.0,-379700000.0,-397300000.0,-234500000.0
EBIT,4714800000.0,5826700000.0,1601400000.0,4797200000.0
Reconciled Cost Of Revenue,23797700000.0,20587200000.0,18387000000.0,18948500000.0
Reconciled Depreciation,1529400000.0,1524100000.0,1503200000.0,1449300000.0
Net Income From Continuing Operation Net Minority Interest,3281600000.0,4199300000.0,928300000.0,3599200000.0
Total Unusual Items Excluding Goodwill,-46000000.0,694100000.0,-278700000.0,487000000.0
Total Unusual Items,-46000000.0,694100000.0,-278700000.0,487000000.0
Normalized EBITDA,6290200000.0,6656700000.0,3383300000.0,5759500000.0
Tax Rate For Calcs,0.224,0.216,0.206,0.195
Tax Effect Of Unusual Items,-10304000.0,149925600.0,-57412200.0,94965000.0
