,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,4252000000.0,3592500000.0,3730000000.0,3740700000.0
Operating Revenue,4228300000.0,3592500000.0,3730000000.0,3740700000.0
Cost Of Revenue,2141200000.0,1844000000.0,1886000000.0,1870700000.0
Gross Profit,2110800000.0,1748500000.0,1844000000.0,1870000000.0
Operating Expense,987300000.0,868000000.0,881700000.0,913900000.0
Other Operating Expenses,987300000.0,868000000.0,881700000.0,913900000.0
Operating Income,1123500000.0,880500000.0,962300000.0,956100000.0
Net Non Operating Interest Income Expense,-51000000.0,-52300000.0,-47500000.0,-49800000.0
Interest Income Non Operating,2100000.0,1700000.0,1500000.0,600000.0
Interest Expense Non Operating,53100000.0,54000000.0,49000000.0,50400000.0
Other Income Expense,14400000.0,7000000.0,7300000.0,3600000.0
Gain On Sale Of Security,-2200000.0,-3900000.0,-3600000.0,-3900000.0
Special Income Charges,,0.0,0.0,5500000.0
Other Special Charges,,,,-5500000.0
Other Non Operating Income Expenses,16600000.0,10900000.0,10900000.0,2000000.0
Pretax Income,1086900000.0,835200000.0,922100000.0,909900000.0
Tax Provision,247000000.0,189100000.0,211800000.0,214400000.0
Earnings From Equity Interest Net Of Tax,1500000.0,300000.0,900000.0,700000.0
Net Income Common Stockholders,820500000.0,627000000.0,693500000.0,679900000.0
Net Income,820500000.0,627000000.0,693500000.0,679900000.0
Net Income Including Noncontrolling Interests,841400000.0,646400000.0,711200000.0,696200000.0
Net Income Continuous Operations,841400000.0,646400000.0,711200000.0,696200000.0
Minority Interests,-20900000.0,-19400000.0,-17700000.0,-16300000.0
Diluted NI Availto Com Stockholders,820500000.0,627000000.0,693500000.0,679900000.0
Basic EPS,15.22,11.55,12.59,12.08
Diluted EPS,14.92,11.44,12.41,11.87
Basic Average Shares,53900000.0,54300000.0,55100000.0,56300000.0
Diluted Average Shares,55000000.0,54800000.0,55900000.0,57300000.0
Total Operating Income As Reported,1123500000.0,880500000.0,962300000.0,956100000.0
Total Expenses,3128500000.0,2712000000.0,2767700000.0,2784600000.0
Net Income From Continuing And Discontinued Operation,820500000.0,627000000.0,693500000.0,679900000.0
Normalized Income,822200600.0,630018600.0,696272000.0,678677600.0
Interest Income,2100000.0,1700000.0,1500000.0,600000.0
Interest Expense,53100000.0,54000000.0,49000000.0,50400000.0
Net Interest Income,-51000000.0,-52300000.0,-47500000.0,-49800000.0
EBIT,1140000000.0,889200000.0,971100000.0,960300000.0
Reconciled Cost Of Revenue,2141200000.0,1844000000.0,1886000000.0,1870700000.0
Reconciled Depreciation,104800000.0,96700000.0,92400000.0,94100000.0
Net Income From Continuing Operation Net Minority Interest,820500000.0,627000000.0,693500000.0,679900000.0
Total Unusual Items Excluding Goodwill,-2200000.0,-3900000.0,-3600000.0,1600000.0
Total Unusual Items,-2200000.0,-3900000.0,-3600000.0,1600000.0
Normalized EBITDA,1247000000.0,989800000.0,1067100000.0,1052800000.0
Tax Rate For Calcs,0.227,0.226,0.23,0.236
Tax Effect Of Unusual Items,-499400.0,-881400.0,-828000.0,377600.0
