,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total Revenue,68636146000.0,51297843000.0,52893310000.0,60113922000.0
Operating Revenue,68636146000.0,51297843000.0,52893310000.0,60113922000.0
Cost Of Revenue,56315622000.0,41941094000.0,42991646000.0,48704935000.0
Gross Profit,12320524000.0,9356749000.0,9901664000.0,11408987000.0
Operating Expense,9981489000.0,7919507000.0,9152159000.0,9078837000.0
Operating Income,2339035000.0,1437242000.0,749505000.0,2330150000.0
Net Non Operating Interest Income Expense,-623643000.0,-880137000.0,-408220000.0,-360423000.0
Interest Expense Non Operating,623643000.0,880137000.0,408220000.0,360423000.0
Other Income Expense,31381000.0,27623000.0,-47901000.0,36109000.0
Other Non Operating Income Expenses,31381000.0,27623000.0,-47901000.0,36109000.0
Pretax Income,1746773000.0,584728000.0,293384000.0,2005836000.0
Tax Provision,388005000.0,60519000.0,77909000.0,331565000.0
Net Income Common Stockholders,1358768000.0,524209000.0,215475000.0,1674271000.0
Net Income,1358768000.0,524209000.0,215475000.0,1674271000.0
Net Income Including Noncontrolling Interests,1358768000.0,524209000.0,215475000.0,1674271000.0
Net Income Continuous Operations,1358768000.0,524209000.0,215475000.0,1674271000.0
Diluted NI Availto Com Stockholders,1358768000.0,524209000.0,215475000.0,1674271000.0
Basic EPS,2.66,1.03,0.42,3.24
Diluted EPS,2.64,1.02,0.42,3.2
Basic Average Shares,510630645.0,510696398.0,510121071.0,516890581.0
Diluted Average Shares,514005827.0,513555088.0,514025974.0,523381124.0
Total Operating Income As Reported,2339035000.0,1437242000.0,749505000.0,2330150000.0
Total Expenses,66297111000.0,49860601000.0,52143805000.0,57783772000.0
Net Income From Continuing And Discontinued Operation,1358768000.0,524209000.0,215475000.0,1674271000.0
Normalized Income,1358768000.0,524209000.0,215475000.0,1674271000.0
Interest Expense,623643000.0,880137000.0,408220000.0,360423000.0
Net Interest Income,-623643000.0,-880137000.0,-408220000.0,-360423000.0
EBIT,2370416000.0,1464865000.0,701604000.0,2366259000.0
Reconciled Cost Of Revenue,56315622000.0,41941094000.0,42991646000.0,48704935000.0
Reconciled Depreciation,880933000.0,851822000.0,914141000.0,763935000.0
Net Income From Continuing Operation Net Minority Interest,1358768000.0,524209000.0,215475000.0,1674271000.0
Normalized EBITDA,3251349000.0,2316687000.0,1615745000.0,3130194000.0
Tax Rate For Calcs,0.2221,0.1035,0.2655,0.1653
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
