,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,10279700000.0,9654000000.0,10579400000.0,10769600000.0
Operating Revenue,12449900000.0,11723800000.0,13009100000.0,13338000000.0
Excise Taxes,2170200000.0,2069800000.0,2429700000.0,2568400000.0
Cost Of Revenue,6226300000.0,5885700000.0,6378200000.0,6584800000.0
Gross Profit,4053400000.0,3768300000.0,4201200000.0,4184800000.0
Operating Expense,2554500000.0,2437000000.0,2728000000.0,2802700000.0
Selling General And Administration,2554500000.0,2437000000.0,2728000000.0,2802700000.0
Operating Income,1498900000.0,1331300000.0,1473200000.0,1382100000.0
Net Non Operating Interest Income Expense,-258300000.0,-271300000.0,-272700000.0,-298200000.0
Interest Income Non Operating,2000000.0,3300000.0,8200000.0,8000000.0
Interest Expense Non Operating,260300000.0,274600000.0,280900000.0,306200000.0
Total Other Finance Cost,258300000.0,,272700000.0,298200000.0
Other Income Expense,-1600000.0,-1703900000.0,-720600000.0,275900000.0
Gain On Sale Of Security,-7400000.0,2800000.0,-20400000.0,-31900000.0
Earnings From Equity Interest,,,,0.0
Special Income Charges,-44500000.0,-1740200000.0,-708800000.0,261400000.0
Restructuring And Mergern Acquisition,5800000.0,64900000.0,52400000.0,-293300000.0
Impairment Of Capital Assets,0.0,39600000.0,680500000.0,0.0
Write Off,13500000.0,1516200000.0,3400000.0,0.0
Gain On Sale Of Business,,,-1300000.0,-7100000.0
Gain On Sale Of Ppe,-25200000.0,-119500000.0,28800000.0,-24800000.0
Other Non Operating Income Expenses,50300000.0,33500000.0,8600000.0,46400000.0
Pretax Income,1239000000.0,-643900000.0,479900000.0,1359800000.0
Tax Provision,230500000.0,301800000.0,233700000.0,225200000.0
Net Income Common Stockholders,1005700000.0,-949000000.0,241700000.0,1116500000.0
Net Income,1005700000.0,-949000000.0,241700000.0,1116500000.0
Net Income Including Noncontrolling Interests,1008500000.0,-945700000.0,246200000.0,1134600000.0
Net Income Continuous Operations,1008500000.0,-945700000.0,246200000.0,1134600000.0
Minority Interests,-2800000.0,-3300000.0,-4500000.0,-18100000.0
Diluted NI Availto Com Stockholders,1005700000.0,-949000000.0,241700000.0,1116500000.0
Basic EPS,4.63,-4.38,1.12,5.17
Diluted EPS,4.62,-4.38,1.11,5.15
Basic Average Shares,217100000.0,216800000.0,216600000.0,216000000.0
Diluted Average Shares,217600000.0,216800000.0,216900000.0,216600000.0
Total Operating Income As Reported,1454400000.0,-408900000.0,764400000.0,1631800000.0
Total Expenses,8780800000.0,8322700000.0,9106200000.0,9387500000.0
Net Income From Continuing And Discontinued Operation,1005700000.0,-949000000.0,241700000.0,1116500000.0
Normalized Income,1047946600.0,319302000.0,774016000.0,925097000.0
Interest Income,2000000.0,3300000.0,8200000.0,8000000.0
Interest Expense,260300000.0,274600000.0,280900000.0,306200000.0
Net Interest Income,-258300000.0,-271300000.0,-272700000.0,-298200000.0
EBIT,1499300000.0,-369300000.0,760800000.0,1666000000.0
Reconciled Cost Of Revenue,6226300000.0,5885700000.0,6378200000.0,6584800000.0
Reconciled Depreciation,786100000.0,922000000.0,859000000.0,857500000.0
Net Income From Continuing Operation Net Minority Interest,1005700000.0,-949000000.0,241700000.0,1116500000.0
Total Unusual Items Excluding Goodwill,-51900000.0,-1737400000.0,-729200000.0,229500000.0
Total Unusual Items,-51900000.0,-1737400000.0,-729200000.0,229500000.0
Normalized EBITDA,2337300000.0,2290100000.0,2349000000.0,2294000000.0
Tax Rate For Calcs,0.186,0.27,0.27,0.166
Tax Effect Of Unusual Items,-9653400.0,-469098000.0,-196884000.0,38097000.0
