,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,4614300000.0,3086200000.0,3163600000.0,2901800000.0
Operating Revenue,4614300000.0,3086200000.0,3163600000.0,2901800000.0
Cost Of Revenue,2772900000.0,1905300000.0,1920300000.0,1791000000.0
Gross Profit,1841400000.0,1180900000.0,1243300000.0,1110800000.0
Operating Expense,1217100000.0,700800000.0,751600000.0,694200000.0
Selling General And Administration,1067800000.0,700800000.0,751600000.0,694200000.0
Depreciation Amortization Depletion Income Statement,149300000.0,,,
Depreciation And Amortization In Income Statement,149300000.0,,,
Amortization,149300000.0,,,
Amortization Of Intangibles Income Statement,149300000.0,,,
Operating Income,624300000.0,480100000.0,491700000.0,416600000.0
Net Non Operating Interest Income Expense,-104200000.0,-15300000.0,-21000000.0,-25500000.0
Interest Expense Non Operating,104200000.0,15300000.0,21000000.0,25500000.0
Total Other Finance Cost,,,21000000.0,25500000.0
Other Income Expense,13700000.0,4900000.0,3000000.0,2800000.0
Other Non Operating Income Expenses,13700000.0,4900000.0,3000000.0,2800000.0
Pretax Income,533800000.0,469700000.0,473700000.0,393900000.0
Tax Provision,88500000.0,67800000.0,71400000.0,60100000.0
Net Income Common Stockholders,445300000.0,401900000.0,402300000.0,333800000.0
Net Income,445300000.0,401900000.0,402300000.0,333800000.0
Net Income Including Noncontrolling Interests,445300000.0,401900000.0,402300000.0,333800000.0
Net Income Continuous Operations,445300000.0,401900000.0,402300000.0,333800000.0
Diluted NI Availto Com Stockholders,445300000.0,401900000.0,402300000.0,333800000.0
Basic EPS,9.544493,10.875842,11.007453,9.249792
Diluted EPS,9.544493,10.62,10.73,9.01
Basic Average Shares,46692296.0,36951607.0,36547966.0,36087297.0
Diluted Average Shares,46692296.0,37900000.0,37500000.0,37000000.0
Total Operating Income As Reported,624300000.0,480100000.0,491700000.0,416600000.0
Total Expenses,3990000000.0,2606100000.0,2671900000.0,2485200000.0
Net Income From Continuing And Discontinued Operation,445300000.0,401900000.0,402300000.0,333800000.0
Normalized Income,445300000.0,401900000.0,402300000.0,333800000.0
Interest Expense,104200000.0,15300000.0,21000000.0,25500000.0
Net Interest Income,-104200000.0,-15300000.0,-21000000.0,-25500000.0
EBIT,638000000.0,485000000.0,494700000.0,419400000.0
Reconciled Cost Of Revenue,2550400000.0,1905300000.0,1920300000.0,1791000000.0
Reconciled Depreciation,371800000.0,116200000.0,111900000.0,113000000.0
Net Income From Continuing Operation Net Minority Interest,445300000.0,401900000.0,402300000.0,333800000.0
Normalized EBITDA,1009800000.0,601200000.0,606600000.0,532400000.0
Tax Rate For Calcs,0.166,0.144,0.151,0.153
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
