,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,39211000000.0,32218000000.0,25542000000.0,24358000000.0
Operating Revenue,39211000000.0,32218000000.0,25542000000.0,24358000000.0
Cost Of Revenue,19573000000.0,16214000000.0,14214000000.0,13501000000.0
Gross Profit,19638000000.0,16004000000.0,11328000000.0,10857000000.0
Operating Expense,9413000000.0,8111000000.0,7147000000.0,7024000000.0
Selling General And Administration,8007000000.0,6930000000.0,6144000000.0,6057000000.0
Research And Development,1406000000.0,1181000000.0,1003000000.0,967000000.0
Depreciation Amortization Depletion Income Statement,1761000000.0,1667000000.0,1713000000.0,1741000000.0
Depreciation And Amortization In Income Statement,1761000000.0,1667000000.0,1713000000.0,1741000000.0
Amortization,1761000000.0,1667000000.0,1713000000.0,1741000000.0
Amortization Of Intangibles Income Statement,1761000000.0,1667000000.0,1713000000.0,1741000000.0
Operating Income,10225000000.0,7893000000.0,4181000000.0,3833000000.0
Net Non Operating Interest Income Expense,-493000000.0,-488000000.0,-452000000.0,-530000000.0
Interest Income Non Operating,43000000.0,65000000.0,224000000.0,137000000.0
Interest Expense Non Operating,536000000.0,553000000.0,676000000.0,667000000.0
Other Income Expense,-891000000.0,-180000000.0,341000000.0,-41000000.0
Special Income Charges,-197000000.0,-99000000.0,413000000.0,-50000000.0
Restructuring And Mergern Acquisition,197000000.0,99000000.0,-413000000.0,50000000.0
Other Non Operating Income Expenses,-694000000.0,-81000000.0,-72000000.0,9000000.0
Pretax Income,8841000000.0,7225000000.0,4070000000.0,3262000000.0
Tax Provision,1109000000.0,850000000.0,374000000.0,324000000.0
Earnings From Equity Interest Net Of Tax,-4000000.0,,,
Net Income Common Stockholders,7725000000.0,6375000000.0,3696000000.0,2938000000.0
Net Income,7725000000.0,6375000000.0,3696000000.0,2938000000.0
Net Income Including Noncontrolling Interests,7728000000.0,6375000000.0,3696000000.0,2938000000.0
Net Income Continuous Operations,7728000000.0,6375000000.0,3696000000.0,2938000000.0
Net Income Discontinuous Operations,,,,0.0
Minority Interests,-3000000.0,,,
Diluted NI Availto Com Stockholders,7725000000.0,6375000000.0,3696000000.0,2938000000.0
Basic EPS,19.62,16.09,9.24,7.31
Diluted EPS,19.46,15.96,9.17,7.24
Basic Average Shares,394000000.0,396000000.0,400000000.0,402000000.0
Diluted Average Shares,397000000.0,399000000.0,403000000.0,406000000.0
Total Operating Income As Reported,10028000000.0,7794000000.0,4594000000.0,3783000000.0
Total Expenses,28986000000.0,24325000000.0,21361000000.0,20525000000.0
Net Income From Continuing And Discontinued Operation,7725000000.0,6375000000.0,3696000000.0,2938000000.0
Normalized Income,7897375000.0,6462318000.0,3320951351.351351,2983033721.643164
Interest Income,43000000.0,65000000.0,224000000.0,137000000.0
Interest Expense,536000000.0,553000000.0,676000000.0,667000000.0
Net Interest Income,-493000000.0,-488000000.0,-452000000.0,-530000000.0
EBIT,9377000000.0,7778000000.0,4746000000.0,3929000000.0
Reconciled Cost Of Revenue,19573000000.0,16214000000.0,14214000000.0,13501000000.0
Reconciled Depreciation,2592000000.0,2325000000.0,2277000000.0,2267000000.0
Net Income From Continuing Operation Net Minority Interest,7725000000.0,6375000000.0,3696000000.0,2938000000.0
Total Unusual Items Excluding Goodwill,-197000000.0,-99000000.0,413000000.0,-50000000.0
Total Unusual Items,-197000000.0,-99000000.0,413000000.0,-50000000.0
Normalized EBITDA,12166000000.0,10202000000.0,6610000000.0,6246000000.0
Tax Rate For Calcs,0.125,0.118,0.091892,0.099326
Tax Effect Of Unusual Items,-24625000.0,-11682000.0,37951351.351351,-4966278.356836
