,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,53823000000.0,31536000000.0,24578000000.0,21461268000.0
Operating Revenue,53823000000.0,31536000000.0,24578000000.0,21461268000.0
Cost Of Revenue,40217000000.0,24906000000.0,20509000000.0,17419247000.0
Gross Profit,13606000000.0,6630000000.0,4069000000.0,4042021000.0
Operating Expense,7110000000.0,4636000000.0,3989000000.0,4294861000.0
Selling General And Administration,4517000000.0,3145000000.0,2646000000.0,2834491000.0
Research And Development,2593000000.0,1491000000.0,1343000000.0,1460370000.0
Operating Income,6496000000.0,1994000000.0,80000000.0,-252840000.0
Net Non Operating Interest Income Expense,-315000000.0,-718000000.0,-641000000.0,-638538000.0
Interest Income Non Operating,56000000.0,30000000.0,44000000.0,24533000.0
Interest Expense Non Operating,371000000.0,748000000.0,685000000.0,663071000.0
Other Income Expense,162000000.0,-122000000.0,-104000000.0,-113367000.0
Special Income Charges,27000000.0,0.0,-149000000.0,-135233000.0
Restructuring And Mergern Acquisition,-27000000.0,0.0,149000000.0,135233000.0
Other Non Operating Income Expenses,135000000.0,-122000000.0,45000000.0,21866000.0
Pretax Income,6343000000.0,1154000000.0,-665000000.0,-1004745000.0
Tax Provision,699000000.0,292000000.0,110000000.0,57837000.0
Net Income Common Stockholders,5519000000.0,690000000.0,-862000000.0,-976091000.0
Net Income,5519000000.0,690000000.0,-862000000.0,-976091000.0
Net Income Including Noncontrolling Interests,5644000000.0,862000000.0,-775000000.0,-1062582000.0
Net Income Continuous Operations,5644000000.0,862000000.0,-775000000.0,-1062582000.0
Minority Interests,-125000000.0,-172000000.0,-87000000.0,86491000.0
Diluted NI Availto Com Stockholders,5519000000.0,690000000.0,-862000000.0,-976091000.0
Basic EPS,1.866667,0.246667,-0.328,-0.381333
Diluted EPS,1.633333,0.213333,-0.328,-0.381333
Basic Average Shares,2958000000.0,2880000000.0,2655000000.0,2557875000.0
Diluted Average Shares,3387000000.0,2880000000.0,2655000000.0,2557875000.0
Total Operating Income As Reported,-6523000000.0,1994000000.0,-69000000.0,-388073000.0
Total Expenses,47327000000.0,29542000000.0,24498000000.0,21714108000.0
Net Income From Continuing And Discontinued Operation,5519000000.0,690000000.0,-862000000.0,-976091000.0
Normalized Income,5494970000.0,690000000.0,-738330000.0,-877370910.0
Interest Income,56000000.0,30000000.0,44000000.0,24533000.0
Interest Expense,371000000.0,748000000.0,685000000.0,663071000.0
Net Interest Income,-315000000.0,-718000000.0,-641000000.0,-638538000.0
EBIT,6714000000.0,1902000000.0,20000000.0,-341674000.0
Reconciled Cost Of Revenue,40217000000.0,24906000000.0,20509000000.0,17419247000.0
Reconciled Depreciation,2911000000.0,2322000000.0,2154000000.0,1901050000.0
Net Income From Continuing Operation Net Minority Interest,5519000000.0,690000000.0,-862000000.0,-976091000.0
Total Unusual Items Excluding Goodwill,27000000.0,0.0,-149000000.0,-135233000.0
Total Unusual Items,27000000.0,0.0,-149000000.0,-135233000.0
Normalized EBITDA,9598000000.0,4224000000.0,2323000000.0,1694609000.0
Tax Rate For Calcs,0.11,0.25,0.17,0.27
Tax Effect Of Unusual Items,2970000.0,0.0,-25330000.0,-36512910.0
