,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total Revenue,53282000000.0,47049000000.0,43185000000.0,42405000000.0
Operating Revenue,53282000000.0,47049000000.0,43185000000.0,42405000000.0
Cost Of Revenue,46614000000.0,40523000000.0,37801000000.0,37383000000.0
Gross Profit,6668000000.0,6526000000.0,5384000000.0,5022000000.0
Operating Expense,2258000000.0,2130000000.0,2270000000.0,2195000000.0
Selling General And Administration,2258000000.0,2130000000.0,2270000000.0,2195000000.0
Operating Income,4410000000.0,4396000000.0,3114000000.0,2827000000.0
Net Non Operating Interest Income Expense,-348000000.0,-420000000.0,-475000000.0,-451000000.0
Interest Income Non Operating,17000000.0,8000000.0,10000000.0,11000000.0
Interest Expense Non Operating,365000000.0,428000000.0,485000000.0,462000000.0
Other Income Expense,87000000.0,65000000.0,131000000.0,55000000.0
Other Non Operating Income Expenses,87000000.0,65000000.0,131000000.0,55000000.0
Pretax Income,4149000000.0,4041000000.0,2770000000.0,2431000000.0
Tax Provision,900000000.0,981000000.0,620000000.0,396000000.0
Net Income Common Stockholders,3238000000.0,3047000000.0,2140000000.0,2022000000.0
Net Income,3238000000.0,3047000000.0,2140000000.0,2022000000.0
Net Income Including Noncontrolling Interests,3249000000.0,3060000000.0,2150000000.0,2035000000.0
Net Income Continuous Operations,3249000000.0,3060000000.0,2150000000.0,2035000000.0
Minority Interests,-11000000.0,-13000000.0,-10000000.0,-13000000.0
Diluted NI Availto Com Stockholders,3238000000.0,3047000000.0,2140000000.0,2022000000.0
Basic EPS,,8.57,6.02,5.67
Diluted EPS,,8.34,5.86,5.52
Basic Average Shares,,363000000.0,363000000.0,363000000.0
Diluted Average Shares,,365000000.0,365000000.0,366000000.0
Total Operating Income As Reported,4410000000.0,4396000000.0,3114000000.0,2827000000.0
Total Expenses,48872000000.0,42653000000.0,40071000000.0,39578000000.0
Net Income From Continuing And Discontinued Operation,3238000000.0,3047000000.0,2140000000.0,2022000000.0
Normalized Income,3238000000.0,3047000000.0,2140000000.0,2022000000.0
Interest Income,17000000.0,8000000.0,10000000.0,11000000.0
Interest Expense,365000000.0,428000000.0,485000000.0,462000000.0
Net Interest Income,-348000000.0,-420000000.0,-475000000.0,-451000000.0
EBIT,4514000000.0,4469000000.0,3255000000.0,2893000000.0
Reconciled Cost Of Revenue,46614000000.0,40523000000.0,37801000000.0,37383000000.0
Reconciled Depreciation,1202000000.0,1214000000.0,1192000000.0,1098000000.0
Net Income From Continuing Operation Net Minority Interest,3238000000.0,3047000000.0,2140000000.0,2022000000.0
Normalized EBITDA,5716000000.0,5683000000.0,4447000000.0,3991000000.0
Tax Rate For Calcs,0.217,0.243,0.224,0.163
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
