,2022-03-31,2021-03-31,2020-03-31,2019-03-31
Total Revenue,3504800000.0,3372772000.0,3088970000.0,2668394000.0
Operating Revenue,3504800000.0,3372772000.0,3088970000.0,2668394000.0
Cost Of Revenue,1535401000.0,1535085000.0,1542450000.0,1523644000.0
Gross Profit,1969399000.0,1837687000.0,1546520000.0,1144750000.0
Operating Expense,1494955000.0,1208575000.0,1121170000.0,943036000.0
Selling General And Administration,1027284000.0,835668000.0,776659000.0,672634000.0
General And Administrative Expense,510855000.0,390683000.0,318235000.0,281234000.0
Other Gand A,510855000.0,390683000.0,318235000.0,281234000.0
Selling And Marketing Expense,516429000.0,444985000.0,458424000.0,391400000.0
Research And Development,406566000.0,317311000.0,296398000.0,230170000.0
Depreciation Amortization Depletion Income Statement,61105000.0,55596000.0,48113000.0,40232000.0
Depreciation And Amortization In Income Statement,61105000.0,55596000.0,48113000.0,40232000.0
Operating Income,474444000.0,629112000.0,425350000.0,201714000.0
Net Non Operating Interest Income Expense,-6923000.0,12494000.0,44704000.0,29987000.0
Interest Income Non Operating,17622000.0,18701000.0,47341000.0,38019000.0
Interest Expense Non Operating,24545000.0,6207000.0,2637000.0,8032000.0
Total Other Finance Cost,14212000.0,-8796000.0,-38505000.0,-26113000.0
Other Income Expense,-2123000.0,36210000.0,-11615000.0,1084000.0
Gain On Sale Of Security,-1274000.0,40363000.0,-8922000.0,-505000.0
Special Income Charges,-849000.0,272000.0,-83000.0,4958000.0
Restructuring And Mergern Acquisition,849000.0,-272000.0,83000.0,-4958000.0
Other Non Operating Income Expenses,-5917000.0,-4425000.0,-2610000.0,-3369000.0
Pretax Income,465398000.0,677816000.0,458439000.0,232785000.0
Tax Provision,47376000.0,88930000.0,53980000.0,-101052000.0
Net Income Common Stockholders,418022000.0,588886000.0,404459000.0,333837000.0
Net Income,418022000.0,588886000.0,404459000.0,333837000.0
Net Income Including Noncontrolling Interests,418022000.0,588886000.0,404459000.0,333837000.0
Net Income Continuous Operations,418022000.0,588886000.0,404459000.0,333837000.0
Otherunder Preferred Stock Dividend,,,,0.0
Average Dilution Earnings,,,,0.0
Diluted NI Availto Com Stockholders,418022000.0,588886000.0,404459000.0,333837000.0
Basic EPS,3.62,5.14,3.58,2.95
Diluted EPS,3.58,5.09,3.54,2.9
Basic Average Shares,115485000.0,114602000.0,113096000.0,113176000.0
Diluted Average Shares,116775000.0,115744000.0,114136000.0,115198000.0
Total Operating Income As Reported,473595000.0,629384000.0,425267000.0,206672000.0
Total Expenses,3030356000.0,2743660000.0,2663620000.0,2466680000.0
Net Income From Continuing And Discontinued Operation,418022000.0,588886000.0,404459000.0,333837000.0
Normalized Income,419928454.0,553574185.0,412401410.0,330586310.0
Interest Income,17622000.0,18701000.0,47341000.0,38019000.0
Interest Expense,24545000.0,6207000.0,2637000.0,8032000.0
Net Interest Income,-6923000.0,12494000.0,44704000.0,29987000.0
EBIT,489943000.0,684023000.0,461076000.0,240817000.0
Reconciled Cost Of Revenue,1317214000.0,1357868000.0,1354020000.0,1299050000.0
Reconciled Depreciation,279292000.0,232813000.0,236543000.0,264826000.0
Net Income From Continuing Operation Net Minority Interest,418022000.0,588886000.0,404459000.0,333837000.0
Total Unusual Items Excluding Goodwill,-2123000.0,40635000.0,-9005000.0,4453000.0
Total Unusual Items,-2123000.0,40635000.0,-9005000.0,4453000.0
Normalized EBITDA,771358000.0,876201000.0,706624000.0,501190000.0
Tax Rate For Calcs,0.102,0.131,0.118,0.27
Tax Effect Of Unusual Items,-216546.0,5323185.0,-1062590.0,1202310.0
