,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,21804000000.0,19533000000.0,21708000000.0,22832000000.0
Operating Revenue,20244000000.0,18251000000.0,20243000000.0,21384000000.0
Cost Of Revenue,11290000000.0,10354000000.0,12094000000.0,13293000000.0
Gross Profit,10514000000.0,9179000000.0,9614000000.0,9539000000.0
Operating Expense,1176000000.0,1345000000.0,1060000000.0,1022000000.0
Other Operating Expenses,1176000000.0,1345000000.0,1060000000.0,1022000000.0
Operating Income,9338000000.0,7834000000.0,8554000000.0,8517000000.0
Net Non Operating Interest Income Expense,-1152000000.0,-1129000000.0,-987000000.0,-840000000.0
Interest Income Non Operating,5000000.0,12000000.0,63000000.0,30000000.0
Interest Expense Non Operating,1157000000.0,1141000000.0,1050000000.0,870000000.0
Other Income Expense,292000000.0,275000000.0,180000000.0,64000000.0
Gain On Sale Of Security,36000000.0,,,
Special Income Charges,98000000.0,115000000.0,18000000.0,-55000000.0
Other Special Charges,,,2000000.0,85000000.0
Gain On Sale Of Ppe,98000000.0,115000000.0,20000000.0,30000000.0
Other Non Operating Income Expenses,158000000.0,160000000.0,162000000.0,119000000.0
Pretax Income,8478000000.0,6980000000.0,7747000000.0,7741000000.0
Tax Provision,1955000000.0,1631000000.0,1828000000.0,1775000000.0
Net Income Common Stockholders,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Net Income,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Net Income Including Noncontrolling Interests,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Net Income Continuous Operations,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Diluted NI Availto Com Stockholders,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Basic EPS,9.98,7.9,8.41,7.95
Diluted EPS,9.95,7.88,8.38,7.91
Basic Average Shares,653800000.0,677300000.0,703500000.0,750900000.0
Diluted Average Shares,655400000.0,679100000.0,706100000.0,754300000.0
Total Operating Income As Reported,9338000000.0,7834000000.0,8554000000.0,8517000000.0
Rent Expense Supplemental,859000000.0,875000000.0,984000000.0,1072000000.0
Total Expenses,12466000000.0,11699000000.0,13154000000.0,14315000000.0
Net Income From Continuing And Discontinued Operation,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Normalized Income,6419954000.0,5260910000.0,5905248000.0,6008405000.0
Interest Income,5000000.0,12000000.0,63000000.0,30000000.0
Interest Expense,1157000000.0,1141000000.0,1050000000.0,870000000.0
Net Interest Income,-1152000000.0,-1129000000.0,-987000000.0,-840000000.0
EBIT,9635000000.0,8121000000.0,8797000000.0,8611000000.0
Reconciled Cost Of Revenue,11290000000.0,10354000000.0,12094000000.0,13293000000.0
Reconciled Depreciation,2208000000.0,2210000000.0,2216000000.0,2191000000.0
Net Income From Continuing Operation Net Minority Interest,6523000000.0,5349000000.0,5919000000.0,5966000000.0
Total Unusual Items Excluding Goodwill,134000000.0,115000000.0,18000000.0,-55000000.0
Total Unusual Items,134000000.0,115000000.0,18000000.0,-55000000.0
Normalized EBITDA,11709000000.0,10216000000.0,10995000000.0,10857000000.0
Tax Rate For Calcs,0.231,0.234,0.236,0.229
Tax Effect Of Unusual Items,30954000.0,26910000.0,4248000.0,-12595000.0
