,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,97287000000.0,84628000000.0,74094000000.0,71861000000.0
Operating Revenue,97287000000.0,84628000000.0,74094000000.0,71861000000.0
Cost Of Revenue,76706000000.0,69344000000.0,60377000000.0,59372000000.0
Gross Profit,20581000000.0,15284000000.0,13717000000.0,12489000000.0
Operating Expense,7771000000.0,7600000000.0,5919000000.0,5465000000.0
Selling General And Administration,46707000000.0,,,
General And Administrative Expense,46707000000.0,,,
Salaries And Wages,46707000000.0,,,
Other Operating Expenses,7771000000.0,7600000000.0,5919000000.0,5465000000.0
Operating Income,12810000000.0,7684000000.0,7798000000.0,7024000000.0
Net Non Operating Interest Income Expense,-694000000.0,-701000000.0,-653000000.0,-605000000.0
Interest Expense Non Operating,694000000.0,701000000.0,653000000.0,605000000.0
Other Income Expense,4479000000.0,-5139000000.0,-1493000000.0,-400000000.0
Gain On Sale Of Security,4479000000.0,-5139000000.0,-1493000000.0,-400000000.0
Other Non Operating Income Expenses,4457000000.0,-5176000000.0,-1622000000.0,-490000000.0
Pretax Income,16595000000.0,1844000000.0,5652000000.0,6019000000.0
Tax Provision,3705000000.0,501000000.0,1212000000.0,1228000000.0
Net Income Common Stockholders,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Net Income,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Net Income Including Noncontrolling Interests,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Net Income Continuous Operations,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Diluted NI Availto Com Stockholders,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Basic EPS,14.75,1.65,5.14,5.53
Diluted EPS,14.68,1.64,5.11,5.51
Basic Average Shares,874000000.0,867000000.0,864000000.0,866000000.0
Diluted Average Shares,878000000.0,871000000.0,869000000.0,870000000.0
Total Operating Income As Reported,12810000000.0,7684000000.0,7798000000.0,7024000000.0
Rent Expense Supplemental,1698000000.0,1539000000.0,1392000000.0,1362000000.0
Total Expenses,84477000000.0,76944000000.0,66296000000.0,64837000000.0
Net Income From Continuing And Discontinued Operation,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Normalized Income,9409817000.0,5084192000.0,5613498000.0,5109400000.0
Interest Expense,694000000.0,701000000.0,653000000.0,605000000.0
Net Interest Income,-694000000.0,-701000000.0,-653000000.0,-605000000.0
EBIT,17289000000.0,2545000000.0,6305000000.0,6624000000.0
Reconciled Cost Of Revenue,76706000000.0,69344000000.0,60377000000.0,59372000000.0
Reconciled Depreciation,2953000000.0,2698000000.0,2360000000.0,2207000000.0
Net Income From Continuing Operation Net Minority Interest,12890000000.0,1343000000.0,4440000000.0,4791000000.0
Total Unusual Items Excluding Goodwill,4479000000.0,-5139000000.0,-1493000000.0,-400000000.0
Total Unusual Items,4479000000.0,-5139000000.0,-1493000000.0,-400000000.0
Normalized EBITDA,15763000000.0,10382000000.0,10158000000.0,9231000000.0
Tax Rate For Calcs,0.223,0.272,0.214,0.204
Tax Effect Of Unusual Items,998817000.0,-1397808000.0,-319502000.0,-81600000.0
