,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,22721000000.0,23226000000.0,22883000000.0,22181000000.0
Operating Revenue,22721000000.0,23226000000.0,22883000000.0,22181000000.0
Selling General And Administration,9094000000.0,8256000000.0,8037000000.0,7822000000.0
General And Administrative Expense,8728000000.0,7938000000.0,7611000000.0,7393000000.0
Salaries And Wages,8728000000.0,7938000000.0,7611000000.0,7393000000.0
Other Gand A,,1582000000.0,1385000000.0,1302000000.0
Selling And Marketing Expense,366000000.0,318000000.0,426000000.0,429000000.0
Depreciation Amortization Depletion Income Statement,159000000.0,176000000.0,168000000.0,161000000.0
Depreciation And Amortization In Income Statement,159000000.0,176000000.0,168000000.0,161000000.0
Amortization,159000000.0,176000000.0,168000000.0,161000000.0
Amortization Of Intangibles Income Statement,159000000.0,176000000.0,168000000.0,161000000.0
Gain On Sale Of Security,103000000.0,177000000.0,73000000.0,30000000.0
Special Income Charges,,,,340000000.0
Gain On Sale Of Business,,,,340000000.0
Pretax Income,10166000000.0,6051000000.0,8594000000.0,8678000000.0
Tax Provision,2181000000.0,1066000000.0,1648000000.0,1554000000.0
Net Income Common Stockholders,7605000000.0,4621000000.0,6583000000.0,6784000000.0
Net Income,7963000000.0,4959000000.0,6914000000.0,7096000000.0
Net Income Including Noncontrolling Interests,7985000000.0,4985000000.0,6946000000.0,7124000000.0
Net Income Continuous Operations,7985000000.0,4985000000.0,6946000000.0,7124000000.0
Minority Interests,-22000000.0,-26000000.0,-32000000.0,-28000000.0
Preferred Stock Dividends,303000000.0,304000000.0,302000000.0,282000000.0
Otherunder Preferred Stock Dividend,55000000.0,34000000.0,29000000.0,30000000.0
Diluted NI Availto Com Stockholders,7605000000.0,4621000000.0,6583000000.0,6784000000.0
Basic EPS,5.11,3.06,4.16,4.15
Diluted EPS,5.1,3.06,4.16,4.14
Basic Average Shares,1489000000.0,1509000000.0,1581000000.0,1634000000.0
Diluted Average Shares,1490000000.0,1510000000.0,1583000000.0,1638000000.0
Net Income From Continuing And Discontinued Operation,7963000000.0,4959000000.0,6914000000.0,7096000000.0
Normalized Income,7963000000.0,4959000000.0,6914000000.0,6816860000.0
Interest Income,13487000000.0,14840000000.0,17494000000.0,16173000000.0
Interest Expense,993000000.0,2015000000.0,4442000000.0,3254000000.0
Net Interest Income,12494000000.0,12825000000.0,13052000000.0,12919000000.0
Reconciled Depreciation,497000000.0,527000000.0,502000000.0,467000000.0
Net Income From Continuing Operation Net Minority Interest,7963000000.0,4959000000.0,6914000000.0,7096000000.0
Total Unusual Items Excluding Goodwill,,,,340000000.0
Total Unusual Items,,,,340000000.0
Tax Rate For Calcs,0.215,0.176,0.191762,0.179
Tax Effect Of Unusual Items,0.0,0.0,0.0,60860000.0
