,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,7574400000.0,6205683000.0,4162821000.0,3047597000.0
Operating Revenue,7573400000.0,6205683000.0,4162821000.0,3047597000.0
Cost Of Revenue,904200000.0,736300000.0,547758000.0,409539000.0
Gross Profit,6670200000.0,5469383000.0,3615063000.0,2638058000.0
Operating Expense,3891200000.0,2599993000.0,2413038000.0,1974092000.0
Selling General And Administration,840100000.0,770456000.0,658498000.0,557616000.0
Research And Development,3051100000.0,1829537000.0,1754540000.0,1416476000.0
Operating Income,2779000000.0,2869390000.0,1202025000.0,663966000.0
Net Non Operating Interest Income Expense,-56600000.0,-35912000.0,5176000.0,-34119000.0
Interest Income Non Operating,4900000.0,22239000.0,63678000.0,
Interest Expense Non Operating,61500000.0,58151000.0,58502000.0,34119000.0
Other Income Expense,8000000.0,283320000.0,187718000.0,-29606000.0
Special Income Charges,3100000.0,-13100000.0,-4459000.0,-28816000.0
Restructuring And Mergern Acquisition,-3100000.0,13100000.0,4459000.0,-184000.0
Impairment Of Capital Assets,,0.0,0.0,29000000.0
Other Non Operating Income Expenses,4900000.0,296420000.0,192177000.0,-790000.0
Pretax Income,2730400000.0,3116798000.0,1394919000.0,600241000.0
Tax Provision,388300000.0,405151000.0,218109000.0,-1486862000.0
Net Income Common Stockholders,2342100000.0,2711647000.0,1176810000.0,2096395000.0
Net Income,2342100000.0,2711647000.0,1176810000.0,2096896000.0
Net Income Including Noncontrolling Interests,2342100000.0,2711647000.0,1176810000.0,2087103000.0
Net Income Continuous Operations,2342100000.0,2711647000.0,1176810000.0,2087103000.0
Minority Interests,,0.0,0.0,9793000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,501000.0
Average Dilution Earnings,,0.0,0.0,9000.0
Diluted NI Availto Com Stockholders,2342100000.0,2711647000.0,1176810000.0,2096404000.0
Basic EPS,9.09,10.44,4.58,8.24
Diluted EPS,9.01,10.29,4.51,8.09
Basic Average Shares,257700000.0,259841000.0,256728000.0,254292000.0
Diluted Average Shares,259900000.0,263396000.0,260673000.0,259185000.0
Total Operating Income As Reported,2782100000.0,2856290000.0,1197566000.0,635150000.0
Total Expenses,4795400000.0,3336293000.0,2960796000.0,2383631000.0
Net Income From Continuing And Discontinued Operation,2342100000.0,2711647000.0,1176810000.0,2096896000.0
Normalized Income,2339434000.0,2723044000.0,1180571792.46967,2117931680.0
Interest Income,4900000.0,22239000.0,63678000.0,
Interest Expense,61500000.0,58151000.0,58502000.0,34119000.0
Net Interest Income,-56600000.0,-35912000.0,5176000.0,-34119000.0
EBIT,2791900000.0,3174949000.0,1453421000.0,634360000.0
Reconciled Cost Of Revenue,904200000.0,736300000.0,547758000.0,409539000.0
Reconciled Depreciation,125600000.0,109515000.0,106941000.0,72420000.0
Net Income From Continuing Operation Net Minority Interest,2342100000.0,2711647000.0,1176810000.0,2096896000.0
Total Unusual Items Excluding Goodwill,3100000.0,-13100000.0,-4459000.0,-28816000.0
Total Unusual Items,3100000.0,-13100000.0,-4459000.0,-28816000.0
Normalized EBITDA,2914400000.0,3297564000.0,1564821000.0,735596000.0
Tax Rate For Calcs,0.14,0.13,0.15636,0.27
Tax Effect Of Unusual Items,434000.0,-1703000.0,-697207.53033,-7780320.0
