,2022-08-31,2021-08-31,2020-08-31,2019-08-31
Total Revenue,132703000000.0,132509000000.0,139537000000.0,136866000000.0
Operating Revenue,132703000000.0,132509000000.0,139537000000.0,136866000000.0
Cost Of Revenue,104437000000.0,104442000000.0,111520000000.0,106790000000.0
Gross Profit,28265000000.0,28067000000.0,28017000000.0,30076000000.0
Operating Expense,27295000000.0,24586000000.0,27045000000.0,25242000000.0
Selling General And Administration,27295000000.0,24586000000.0,27045000000.0,25242000000.0
Operating Income,970000000.0,3481000000.0,972000000.0,4834000000.0
Net Non Operating Interest Income Expense,-400000000.0,-905000000.0,-639000000.0,-704000000.0
Interest Expense Non Operating,400000000.0,905000000.0,639000000.0,704000000.0
Total Other Finance Cost,,905000000.0,,704000000.0
Other Income Expense,3416000000.0,-581000000.0,411000000.0,397000000.0
Earnings From Equity Interest,418000000.0,-1139000000.0,341000000.0,164000000.0
Other Non Operating Income Expenses,2998000000.0,558000000.0,70000000.0,233000000.0
Pretax Income,3985000000.0,1995000000.0,743000000.0,4527000000.0
Tax Provision,-30000000.0,667000000.0,360000000.0,588000000.0
Earnings From Equity Interest Net Of Tax,50000000.0,627000000.0,41000000.0,23000000.0
Net Income Common Stockholders,4337000000.0,2542000000.0,456000000.0,3982000000.0
Net Income,4337000000.0,2542000000.0,456000000.0,3982000000.0
Net Income Including Noncontrolling Interests,4065000000.0,2512000000.0,424000000.0,3962000000.0
Net Income Continuous Operations,4065000000.0,1955000000.0,424000000.0,3962000000.0
Net Income Discontinuous Operations,0.0,557000000.0,,
Minority Interests,271000000.0,30000000.0,32000000.0,20000000.0
Diluted NI Availto Com Stockholders,4337000000.0,2542000000.0,456000000.0,3982000000.0
Basic EPS,,2.94,0.52,4.32
Diluted EPS,,2.93,0.52,4.31
Basic Average Shares,,864800000.0,879400000.0,921500000.0
Diluted Average Shares,,866400000.0,880300000.0,923500000.0
Total Operating Income As Reported,1387000000.0,2342000000.0,1312000000.0,4998000000.0
Total Expenses,131732000000.0,129028000000.0,138565000000.0,132032000000.0
Net Income From Continuing And Discontinued Operation,4337000000.0,2542000000.0,456000000.0,3982000000.0
Normalized Income,4337000000.0,1985000000.0,456000000.0,3982000000.0
Interest Expense,400000000.0,905000000.0,639000000.0,704000000.0
Net Interest Income,-400000000.0,-905000000.0,-639000000.0,-704000000.0
EBIT,4385000000.0,2900000000.0,1382000000.0,5231000000.0
Reconciled Cost Of Revenue,104437000000.0,104442000000.0,111520000000.0,106790000000.0
Reconciled Depreciation,1990000000.0,1973000000.0,1927000000.0,2038000000.0
Net Income From Continuing Operation Net Minority Interest,4337000000.0,1985000000.0,456000000.0,3982000000.0
Normalized EBITDA,6375000000.0,4873000000.0,3309000000.0,7269000000.0
Tax Rate For Calcs,0.4,0.334,0.27,0.13
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
