,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,9481191000.0,8098562000.0,7932911000.0,7718718000.0
Operating Revenue,9481191000.0,8098562000.0,7932911000.0,7718718000.0
Other Operating Expenses,692895000.0,569340000.0,603848000.0,557499000.0
Net Non Operating Interest Income Expense,-147180000.0,-150537000.0,-153409000.0,-157185000.0
Interest Expense Non Operating,147180000.0,150537000.0,153409000.0,157185000.0
Other Income Expense,493328000.0,392484000.0,409911000.0,373666000.0
Special Income Charges,-11521000.0,-8440000.0,,
Other Special Charges,11521000.0,8440000.0,,
Pretax Income,1282905000.0,704802000.0,852920000.0,812094000.0
Tax Provision,251890000.0,171817000.0,168935000.0,163028000.0
Net Income Common Stockholders,1022490000.0,530670000.0,681944000.0,640749000.0
Net Income,1022490000.0,530670000.0,681944000.0,640749000.0
Net Income Including Noncontrolling Interests,1031015000.0,532985000.0,683985000.0,649066000.0
Net Income Continuous Operations,1031015000.0,532985000.0,683985000.0,649066000.0
Minority Interests,-8525000.0,-2315000.0,-2041000.0,-8317000.0
Diluted NI Availto Com Stockholders,1022490000.0,530670000.0,681944000.0,640749000.0
Basic EPS,3.686667,1.893333,2.386667,2.248889
Diluted EPS,3.653333,1.873333,2.346667,2.222222
Basic Average Shares,277429500.0,280386000.0,286083000.0,285072750.0
Diluted Average Shares,279748500.0,283144500.0,290281500.0,288594000.0
Total Expenses,8198286000.0,7393760000.0,7079991000.0,6906624000.0
Net Income From Continuing And Discontinued Operation,1022490000.0,530670000.0,681944000.0,640749000.0
Normalized Income,1031752884.0,537050640.0,681944000.0,640749000.0
Interest Expense,147180000.0,150537000.0,153409000.0,157185000.0
Net Interest Income,-147180000.0,-150537000.0,-153409000.0,-157185000.0
EBIT,1430085000.0,855339000.0,1006329000.0,969279000.0
Reconciled Depreciation,129682000.0,135065000.0,113387000.0,131108000.0
Net Income From Continuing Operation Net Minority Interest,1022490000.0,530670000.0,681944000.0,640749000.0
Total Unusual Items Excluding Goodwill,-11521000.0,-8440000.0,,
Total Unusual Items,-11521000.0,-8440000.0,,
Tax Rate For Calcs,0.196,0.244,0.198,0.2
Tax Effect Of Unusual Items,-2258116.0,-2059360.0,0.0,0.0
