,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,10201000000.0,7532000000.0,6554000000.0,7476000000.0
Operating Revenue,10201000000.0,7532000000.0,6554000000.0,7476000000.0
Cost Of Revenue,6103000000.0,5447000000.0,5412000000.0,5592000000.0
Gross Profit,4098000000.0,2085000000.0,1142000000.0,1884000000.0
Operating Expense,501000000.0,470000000.0,466000000.0,466000000.0
Selling General And Administration,491000000.0,430000000.0,432000000.0,406000000.0
General And Administrative Expense,396000000.0,347000000.0,348000000.0,318000000.0
Other Gand A,396000000.0,347000000.0,348000000.0,318000000.0
Selling And Marketing Expense,95000000.0,83000000.0,84000000.0,88000000.0
Research And Development,5000000.0,5000000.0,6000000.0,8000000.0
Other Operating Expenses,5000000.0,35000000.0,28000000.0,52000000.0
Operating Income,3597000000.0,1615000000.0,676000000.0,1418000000.0
Net Non Operating Interest Income Expense,-308000000.0,-438000000.0,-348000000.0,-315000000.0
Interest Income Non Operating,5000000.0,5000000.0,30000000.0,60000000.0
Interest Expense Non Operating,313000000.0,443000000.0,378000000.0,375000000.0
Other Income Expense,27000000.0,-195000000.0,-541000000.0,-296000000.0
Gain On Sale Of Security,5000000.0,-7000000.0,-2000000.0,3000000.0
Special Income Charges,41000000.0,102000000.0,-23000000.0,-27000000.0
Restructuring And Mergern Acquisition,0.0,1000000.0,80000000.0,2000000.0
Impairment Of Capital Assets,,1000000.0,80000000.0,2000000.0
Other Special Charges,-6000000.0,83000000.0,-5000000.0,30000000.0
Gain On Sale Of Ppe,35000000.0,186000000.0,52000000.0,5000000.0
Other Non Operating Income Expenses,-19000000.0,-290000000.0,-516000000.0,-272000000.0
Pretax Income,3316000000.0,982000000.0,-213000000.0,807000000.0
Tax Provision,709000000.0,185000000.0,-137000000.0,59000000.0
Net Income Common Stockholders,2607000000.0,797000000.0,-76000000.0,748000000.0
Net Income,2607000000.0,797000000.0,-76000000.0,748000000.0
Net Income Including Noncontrolling Interests,2607000000.0,797000000.0,-76000000.0,748000000.0
Net Income Continuous Operations,2607000000.0,797000000.0,-76000000.0,748000000.0
Net Income Discontinuous Operations,,,,0.0
Diluted NI Availto Com Stockholders,2607000000.0,797000000.0,-76000000.0,748000000.0
Basic EPS,3.48,1.07,-0.1,0.99
Diluted EPS,3.47,1.07,-0.1,0.99
Basic Average Shares,749496000.0,746931000.0,745897000.0,754556000.0
Diluted Average Shares,750983000.0,747899000.0,745897000.0,756827000.0
Total Operating Income As Reported,3643000000.0,1710000000.0,651000000.0,1394000000.0
Total Expenses,6604000000.0,5917000000.0,5878000000.0,6058000000.0
Net Income From Continuing And Discontinued Operation,2607000000.0,797000000.0,-76000000.0,748000000.0
Normalized Income,2570844000.0,719860000.0,-57750000.0,770248000.0
Interest Income,5000000.0,5000000.0,30000000.0,60000000.0
Interest Expense,313000000.0,443000000.0,378000000.0,375000000.0
Net Interest Income,-308000000.0,-438000000.0,-348000000.0,-315000000.0
EBIT,3629000000.0,1425000000.0,165000000.0,1182000000.0
Reconciled Cost Of Revenue,6103000000.0,5447000000.0,5412000000.0,5592000000.0
Reconciled Depreciation,477000000.0,472000000.0,510000000.0,486000000.0
Net Income From Continuing Operation Net Minority Interest,2607000000.0,797000000.0,-76000000.0,748000000.0
Total Unusual Items Excluding Goodwill,46000000.0,95000000.0,-25000000.0,-24000000.0
Total Unusual Items,46000000.0,95000000.0,-25000000.0,-24000000.0
Normalized EBITDA,4060000000.0,1802000000.0,700000000.0,1692000000.0
Tax Rate For Calcs,0.214,0.188,0.27,0.073
Tax Effect Of Unusual Items,9844000.0,17860000.0,-6750000.0,-1752000.0
