,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,3763664000.0,2095861000.0,6611099000.0,6717660000.0
Operating Revenue,3763664000.0,2095861000.0,6611099000.0,6717660000.0
Cost Of Revenue,2558581000.0,1743219000.0,4067053000.0,4086275000.0
Gross Profit,1205083000.0,352642000.0,2544046000.0,2631385000.0
Operating Expense,1548862000.0,1517232000.0,1645455000.0,1372028000.0
Selling General And Administration,796592000.0,720849000.0,896670000.0,761415000.0
General And Administrative Expense,796592000.0,720849000.0,896670000.0,761415000.0
Other Gand A,796592000.0,720849000.0,896670000.0,761415000.0
Depreciation Amortization Depletion Income Statement,715962000.0,725502000.0,624878000.0,550596000.0
Depreciation And Amortization In Income Statement,715962000.0,725502000.0,624878000.0,550596000.0
Provision For Doubtful Accounts,29487000.0,64375000.0,21898000.0,6527000.0
Other Operating Expenses,6821000.0,6506000.0,102009000.0,53490000.0
Operating Income,-343779000.0,-1164590000.0,898591000.0,1259357000.0
Net Non Operating Interest Income Expense,-602349000.0,-541090000.0,-389581000.0,-351983000.0
Interest Income Non Operating,3213000.0,15384000.0,24449000.0,29866000.0
Interest Expense Non Operating,605562000.0,556474000.0,414030000.0,381849000.0
Other Income Expense,-65388000.0,-56595000.0,-20792000.0,-601634000.0
Gain On Sale Of Security,11360000.0,-13060000.0,-3228000.0,-4520000.0
Special Income Charges,-52822000.0,-72056000.0,-32723000.0,-523709000.0
Other Special Charges,52822000.0,72056000.0,32723000.0,523709000.0
Other Non Operating Income Expenses,-23926000.0,28521000.0,15159000.0,-73405000.0
Pretax Income,-1011516000.0,-1762275000.0,488218000.0,305740000.0
Tax Provision,474000.0,564671000.0,176840000.0,-497344000.0
Net Income Common Stockholders,-755786000.0,-2067245000.0,122985000.0,572430000.0
Net Income,-755786000.0,-2067245000.0,122985000.0,572430000.0
Net Income Including Noncontrolling Interests,-1011990000.0,-2326946000.0,311378000.0,803084000.0
Net Income Continuous Operations,-1011990000.0,-2326946000.0,311378000.0,803084000.0
Minority Interests,256204000.0,259701000.0,-188393000.0,-230654000.0
Diluted NI Availto Com Stockholders,-755786000.0,-2067245000.0,122985000.0,572430000.0
Basic EPS,-6.64,-19.37,1.15,5.48
Diluted EPS,-6.64,-19.37,1.15,5.46
Basic Average Shares,113760000.0,106745000.0,106745000.0,106529000.0
Diluted Average Shares,113760000.0,106745000.0,106985000.0,107032000.0
Total Operating Income As Reported,-394541000.0,-1232045000.0,878305000.0,735544000.0
Total Expenses,4107443000.0,3260451000.0,5712508000.0,5458303000.0
Net Income From Continuing And Discontinued Operation,-755786000.0,-2067245000.0,122985000.0,572430000.0
Normalized Income,-725518740.0,-2005110320.0,145921738.0,958037170.0
Interest Income,3213000.0,15384000.0,24449000.0,29866000.0
Interest Expense,605562000.0,556474000.0,414030000.0,381849000.0
Net Interest Income,-602349000.0,-541090000.0,-389581000.0,-351983000.0
EBIT,-405954000.0,-1205801000.0,902248000.0,687589000.0
Reconciled Cost Of Revenue,2558581000.0,1743219000.0,4067053000.0,4086275000.0
Reconciled Depreciation,715962000.0,725502000.0,624878000.0,550596000.0
Net Income From Continuing Operation Net Minority Interest,-755786000.0,-2067245000.0,122985000.0,572430000.0
Total Unusual Items Excluding Goodwill,-41462000.0,-85116000.0,-35951000.0,-528229000.0
Total Unusual Items,-41462000.0,-85116000.0,-35951000.0,-528229000.0
Normalized EBITDA,351470000.0,-395183000.0,1563077000.0,1766414000.0
Tax Rate For Calcs,0.27,0.27,0.362,0.27
Tax Effect Of Unusual Items,-11194740.0,-22981320.0,-13014262.0,-142621830.0
