,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Revenue,5627000000.0,4448000000.0,4485000000.0,4218000000.0
Operating Revenue,5627000000.0,4448000000.0,4485000000.0,4218000000.0
Cost Of Revenue,2999000000.0,2445000000.0,2385000000.0,2237000000.0
Gross Profit,2628000000.0,2003000000.0,2100000000.0,1981000000.0
Operating Expense,1617000000.0,1318000000.0,1376000000.0,1352000000.0
Selling General And Administration,935000000.0,787000000.0,826000000.0,811000000.0
General And Administrative Expense,348000000.0,304000000.0,323000000.0,328000000.0
Other Gand A,348000000.0,304000000.0,323000000.0,328000000.0
Selling And Marketing Expense,587000000.0,483000000.0,503000000.0,483000000.0
Research And Development,567000000.0,453000000.0,447000000.0,444000000.0
Depreciation Amortization Depletion Income Statement,115000000.0,78000000.0,103000000.0,97000000.0
Depreciation And Amortization In Income Statement,115000000.0,78000000.0,103000000.0,97000000.0
Amortization,115000000.0,78000000.0,103000000.0,97000000.0
Amortization Of Intangibles Income Statement,115000000.0,78000000.0,103000000.0,97000000.0
Operating Income,1011000000.0,685000000.0,724000000.0,629000000.0
Net Non Operating Interest Income Expense,-5000000.0,-76000000.0,-89000000.0,-91000000.0
Interest Expense Non Operating,5000000.0,76000000.0,89000000.0,91000000.0
Total Other Finance Cost,5000000.0,,89000000.0,91000000.0
Other Income Expense,-38000000.0,-49000000.0,-37000000.0,-14000000.0
Gain On Sale Of Security,-5000000.0,-18000000.0,-6000000.0,-5000000.0
Special Income Charges,-32000000.0,-34000000.0,-32000000.0,-19000000.0
Restructuring And Mergern Acquisition,32000000.0,34000000.0,32000000.0,19000000.0
Impairment Of Capital Assets,,,,0.0
Other Non Operating Income Expenses,-1000000.0,3000000.0,1000000.0,10000000.0
Pretax Income,968000000.0,560000000.0,598000000.0,524000000.0
Tax Provision,131000000.0,56000000.0,54000000.0,103000000.0
Net Income Common Stockholders,837000000.0,504000000.0,544000000.0,421000000.0
Net Income,837000000.0,504000000.0,544000000.0,421000000.0
Net Income Including Noncontrolling Interests,837000000.0,504000000.0,544000000.0,421000000.0
Net Income Continuous Operations,837000000.0,504000000.0,544000000.0,421000000.0
Diluted NI Availto Com Stockholders,837000000.0,504000000.0,544000000.0,421000000.0
Basic EPS,15.66,9.43,10.08,7.86
Diluted EPS,15.52,9.35,9.97,7.76
Basic Average Shares,53446399.0,53441375.0,53991249.0,53562341.0
Diluted Average Shares,53902430.0,53913245.0,54594417.0,54252577.0
Total Operating Income As Reported,979000000.0,651000000.0,692000000.0,610000000.0
Total Expenses,4616000000.0,3763000000.0,3761000000.0,3589000000.0
Net Income From Continuing And Discontinued Operation,837000000.0,504000000.0,544000000.0,421000000.0
Normalized Income,869005000.0,550800000.0,578580000.0,440272000.0
Interest Expense,5000000.0,76000000.0,89000000.0,91000000.0
Net Interest Income,-5000000.0,-76000000.0,-89000000.0,-91000000.0
EBIT,973000000.0,636000000.0,687000000.0,615000000.0
Reconciled Cost Of Revenue,2927000000.0,2377000000.0,2313000000.0,2159000000.0
Reconciled Depreciation,187000000.0,146000000.0,175000000.0,175000000.0
Net Income From Continuing Operation Net Minority Interest,837000000.0,504000000.0,544000000.0,421000000.0
Total Unusual Items Excluding Goodwill,-37000000.0,-52000000.0,-38000000.0,-24000000.0
Total Unusual Items,-37000000.0,-52000000.0,-38000000.0,-24000000.0
Normalized EBITDA,1197000000.0,834000000.0,900000000.0,814000000.0
Tax Rate For Calcs,0.135,0.1,0.09,0.197
Tax Effect Of Unusual Items,-4995000.0,-5200000.0,-3420000.0,-4728000.0
